feature,importance
morgan_816,0.02828703378501875
morgan_216,0.02361789768466533
morgan_1070,0.018762469585533733
Molecular_Weight,0.017135438977686407
Num_Saturated_Rings,0.01462301288562787
Molecular_Surface_Area,0.01438470871130633
morgan_908,0.014254853854247795
LogS,0.013525001360901708
morgan_1991,0.013471535083832063
morgan_561,0.013388979630499197
morgan_61,0.013146300594842788
Num_Atoms,0.012931394397967685
morgan_464,0.012778434337426606
Num_Heavy_Atoms,0.01157402790230768
morgan_1683,0.011505607575066388
Num_H_Donors,0.010493854508300782
morgan_1810,0.00955319434965708
Num_Rotatable_Bonds,0.009292637994554416
morgan_1455,0.009213051005824537
Num_Aromatic_Rings,0.009011628412048908
Molecular_Polar_Surface_Area,0.008455839339959933
morgan_1300,0.007688803369876845
morgan_1019,0.007566070407763013
morgan_1131,0.007368815204657507
morgan_392,0.006841341271750187
ALogP,0.0065774219698951555
morgan_221,0.005729158519679138
morgan_1209,0.0056288548011308144
morgan_2012,0.005371276873231091
morgan_1477,0.00533653935799785
morgan_1976,0.005256051599534498
morgan_1057,0.005238799230721832
morgan_1928,0.005074099124658482
morgan_1961,0.005044985334539966
morgan_289,0.005039129198488663
morgan_366,0.004951934990273621
Num_H_Acceptors,0.004862727539349894
morgan_935,0.004710267695811928
morgan_220,0.004624672227801911
morgan_1646,0.004573054819125577
morgan_1895,0.004508620219752273
morgan_1060,0.004328118995260277
morgan_1341,0.004284703360007528
morgan_214,0.004254484538591134
morgan_209,0.004230139296813921
morgan_30,0.004168284403602099
morgan_204,0.004126846240492644
morgan_926,0.004093083332925522
morgan_1066,0.003960291483218221
Num_Rings,0.003922847017794096
morgan_233,0.003920094549890034
morgan_679,0.003915544511337038
morgan_1416,0.003885666112588125
morgan_165,0.0038643383241642264
morgan_1292,0.0038392341678886947
morgan_197,0.003759502168272606
morgan_637,0.003727074214226001
morgan_114,0.003685664098883848
morgan_1339,0.0036254081930936883
morgan_1925,0.0036002850670579685
morgan_1162,0.0035002278259173352
morgan_80,0.003455899620852475
morgan_1796,0.003351452039167494
morgan_1604,0.003188304594880004
morgan_725,0.0031781633074842506
morgan_1257,0.003170899844512972
morgan_1754,0.0030774323636990255
morgan_893,0.003021323583648242
morgan_1522,0.002987127372636041
morgan_1088,0.002981141191490998
morgan_1145,0.002964538195469733
