feature,importance
morgan_1338,0.06968496963648628
morgan_1968,0.05481746870706614
morgan_1163,0.04934755473699157
morgan_1683,0.044683143033280574
morgan_908,0.04174818274319942
Molecular_Polar_Surface_Area,0.0398778309099669
morgan_1370,0.03611873578374016
LogS,0.025039514926750436
morgan_1911,0.02209449692340025
Num_Rotatable_Bonds,0.022088966225235408
morgan_483,0.018563526375204708
morgan_1171,0.017444063829357946
ALogP,0.01733131318012614
morgan_1043,0.016282319060080257
morgan_1457,0.015353126633193574
morgan_475,0.014617917461440168
morgan_1917,0.014401166385690818
morgan_448,0.012452597492110471
morgan_504,0.01152419859673489
morgan_650,0.01072221885140356
Molecular_Weight,0.009855340394298051
morgan_1387,0.009091249235072471
morgan_1897,0.009053807907080018
morgan_1552,0.008763868542094403
morgan_959,0.008406960162270135
morgan_1839,0.008131753199375086
morgan_130,0.007674177973258584
morgan_282,0.007591053979622713
Num_H_Acceptors,0.007123639300189574
Molecular_Surface_Area,0.00704751718088534
morgan_1454,0.006770415087854819
morgan_1160,0.00665683192314097
morgan_807,0.006540262276329579
morgan_1708,0.006417585267225899
morgan_881,0.005446743285559724
morgan_675,0.00539420976458478
Num_Aromatic_Rings,0.005219871367550057
Num_Heavy_Atoms,0.005152486963967482
morgan_1145,0.004902403488995798
morgan_693,0.004879708211241375
morgan_2035,0.004660069094152306
morgan_437,0.004596830969020906
morgan_1367,0.004517055287410931
Num_Atoms,0.004462647460943746
morgan_24,0.004406049700263688
morgan_1888,0.004343070115377349
morgan_744,0.0042243602913106465
morgan_1791,0.004217205263368928
morgan_1912,0.0038419623410806004
morgan_1088,0.003765701851437222
morgan_784,0.00363881793650104
morgan_652,0.0036154630320404295
morgan_1956,0.003526576573243862
morgan_361,0.003475533075678371
morgan_158,0.0034367306822630722
morgan_434,0.0033708013773598726
morgan_322,0.0032355968952495983
morgan_1452,0.00317037624278984
morgan_595,0.003153386240288129
morgan_389,0.0029881241136222453
morgan_197,0.0029870849626449226
morgan_378,0.002963698220737156
morgan_1627,0.0027775475368564864
morgan_186,0.00260286903578784
morgan_561,0.002591053522087541
morgan_249,0.00258736474845689
