protein_name,organism,n_samples,regression_metrics,classification_metrics,mcc_difference,accuracy_difference,f1_difference,better_model,mcc_improvement
ADRB1,human,614,"{'mcc': 0.5731758048998329, 'accuracy': 0.7882736156351792, 'precision': 0.8143459915611815, 'recall': 0.6917562724014337, 'f1': 0.748062015503876, 'specificity': 0.8686567164179104, 'confusion_matrix': [[291, 44], [86, 193]], 'true_negatives': 291, 'false_positives': 44, 'false_negatives': 86, 'true_positives': 193}","{'mcc': 0.618606126260627, 'accuracy': 0.8127035830618893, 'precision': 0.8095238095238095, 'recall': 0.7527675276752768, 'f1': 0.780114722753346, 'specificity': 0.8600583090379009, 'confusion_matrix': [[295, 48], [67, 204]], 'true_negatives': 295, 'false_positives': 48, 'false_negatives': 67, 'true_positives': 204}",0.04543032136079417,0.02442996742671011,0.03205270724947007,classification,0.04543032136079417
ADRB2,human,860,"{'mcc': 0.6833472060662156, 'accuracy': 0.8709302325581395, 'precision': 0.8920634920634921, 'recall': 0.9289256198347108, 'f1': 0.9101214574898785, 'specificity': 0.7333333333333333, 'confusion_matrix': [[187, 68], [43, 562]], 'true_negatives': 187, 'false_positives': 68, 'false_negatives': 43, 'true_positives': 562}","{'mcc': 0.6623483423190432, 'accuracy': 0.8523255813953489, 'precision': 0.9159369527145359, 'recall': 0.8687707641196013, 'f1': 0.8917306052855924, 'specificity': 0.813953488372093, 'confusion_matrix': [[210, 48], [79, 523]], 'true_negatives': 210, 'false_positives': 48, 'false_negatives': 79, 'true_positives': 523}",-0.020998863747172414,-0.018604651162790642,-0.018390852204286046,regression,0.020998863747172414
CNR2,human,4295,"{'mcc': 0.5491161532301057, 'accuracy': 0.7741559953434226, 'precision': 0.7588110403397028, 'recall': 0.8163544997715853, 'f1': 0.7865316901408451, 'specificity': 0.7302943969610636, 'confusion_matrix': [[1538, 568], [402, 1787]], 'true_negatives': 1538, 'false_positives': 568, 'false_negatives': 402, 'true_positives': 1787}","{'mcc': 0.5490442894169165, 'accuracy': 0.7743888242142025, 'precision': 0.7656736327256558, 'recall': 0.7957486136783734, 'f1': 0.7804214819850442, 'specificity': 0.7526982637259503, 'confusion_matrix': [[1604, 527], [442, 1722]], 'true_negatives': 1604, 'false_positives': 527, 'false_negatives': 442, 'true_positives': 1722}",-7.186381318913249e-05,0.00023282887077991088,-0.006110208155800878,regression,7.186381318913249e-05
CHRM1,human,1103,"{'mcc': 0.48733825135652126, 'accuracy': 0.772438803263826, 'precision': 0.8059071729957806, 'recall': 0.4823232323232323, 'f1': 0.6034755134281201, 'specificity': 0.9349363507779349, 'confusion_matrix': [[661, 46], [205, 191]], 'true_negatives': 661, 'false_positives': 46, 'false_negatives': 205, 'true_positives': 191}","{'mcc': 0.5519567751839389, 'accuracy': 0.7969174977334542, 'precision': 0.7238605898123325, 'recall': 0.690537084398977, 'f1': 0.7068062827225131, 'specificity': 0.8553370786516854, 'confusion_matrix': [[609, 103], [121, 270]], 'true_negatives': 609, 'false_positives': 103, 'false_negatives': 121, 'true_positives': 270}",0.06461852382741767,0.024478694469628248,0.103330769294393,classification,0.06461852382741767
CHRM2,human,721,"{'mcc': 0.6096965029331164, 'accuracy': 0.8044382801664355, 'precision': 0.8213256484149856, 'recall': 0.782967032967033, 'f1': 0.8016877637130801, 'specificity': 0.8263305322128851, 'confusion_matrix': [[295, 62], [79, 285]], 'true_negatives': 295, 'false_positives': 62, 'false_negatives': 79, 'true_positives': 285}","{'mcc': 0.6116262792932121, 'accuracy': 0.8058252427184466, 'precision': 0.8016759776536313, 'recall': 0.8061797752808989, 'f1': 0.803921568627451, 'specificity': 0.8054794520547945, 'confusion_matrix': [[294, 71], [69, 287]], 'true_negatives': 294, 'false_positives': 71, 'false_negatives': 69, 'true_positives': 287}",0.0019297763600957252,0.001386962552011095,0.0022338049143708627,classification,0.0019297763600957252
CHRM3,human,1209,"{'mcc': 0.7222923427858238, 'accuracy': 0.880066170388751, 'precision': 0.8981042654028436, 'recall': 0.9277845777233782, 'f1': 0.9127031908488862, 'specificity': 0.7806122448979592, 'confusion_matrix': [[306, 86], [59, 758]], 'true_negatives': 306, 'false_positives': 86, 'false_negatives': 59, 'true_positives': 758}","{'mcc': 0.6837172663616448, 'accuracy': 0.8395368072787428, 'precision': 0.9525222551928784, 'recall': 0.7985074626865671, 'f1': 0.8687415426251691, 'specificity': 0.9209876543209876, 'confusion_matrix': [[373, 32], [162, 642]], 'true_negatives': 373, 'false_positives': 32, 'false_negatives': 162, 'true_positives': 642}",-0.03857507642417901,-0.04052936311000821,-0.043961648223717065,regression,0.03857507642417901
CHRNA7,human,595,"{'mcc': 0.5930365405238857, 'accuracy': 0.8336134453781513, 'precision': 0.7531645569620253, 'recall': 0.664804469273743, 'f1': 0.7062314540059347, 'specificity': 0.90625, 'confusion_matrix': [[377, 39], [60, 119]], 'true_negatives': 377, 'false_positives': 39, 'false_negatives': 60, 'true_positives': 119}","{'mcc': 0.6140027350691567, 'accuracy': 0.8336134453781513, 'precision': 0.7010309278350515, 'recall': 0.768361581920904, 'f1': 0.7331536388140162, 'specificity': 0.861244019138756, 'confusion_matrix': [[360, 58], [41, 136]], 'true_negatives': 360, 'false_positives': 58, 'false_negatives': 41, 'true_positives': 136}",0.020966194545271044,0.0,0.026922184808081506,classification,0.020966194545271044
HRH1,human,945,"{'mcc': 0.6267006307123969, 'accuracy': 0.8116402116402116, 'precision': 0.8511166253101737, 'recall': 0.7440347071583514, 'f1': 0.7939814814814815, 'specificity': 0.8760330578512396, 'confusion_matrix': [[424, 60], [118, 343]], 'true_negatives': 424, 'false_positives': 60, 'false_negatives': 118, 'true_positives': 343}","{'mcc': 0.6276271361566373, 'accuracy': 0.8126984126984127, 'precision': 0.8498727735368957, 'recall': 0.7389380530973452, 'f1': 0.7905325443786982, 'specificity': 0.8803245436105477, 'confusion_matrix': [[434, 59], [118, 334]], 'true_negatives': 434, 'false_positives': 59, 'false_negatives': 118, 'true_positives': 334}",0.0009265054442404441,0.0010582010582010914,-0.003448937102783267,classification,0.0009265054442404441
HSD11B1,mouse,612,"{'mcc': 0.4983550262481935, 'accuracy': 0.761437908496732, 'precision': 0.7732997481108312, 'recall': 0.8457300275482094, 'f1': 0.8078947368421052, 'specificity': 0.6385542168674698, 'confusion_matrix': [[159, 90], [56, 307]], 'true_negatives': 159, 'false_positives': 90, 'false_negatives': 56, 'true_positives': 307}","{'mcc': 0.4911741550628385, 'accuracy': 0.75, 'precision': 0.8029411764705883, 'recall': 0.7604456824512534, 'f1': 0.7811158798283262, 'specificity': 0.7351778656126482, 'confusion_matrix': [[186, 67], [86, 273]], 'true_negatives': 186, 'false_positives': 67, 'false_negatives': 86, 'true_positives': 273}",-0.007180871185354987,-0.011437908496731986,-0.026778857013779023,regression,0.007180871185354987
ADRB1,mouse,32,"{'mcc': 0.29012942659282975, 'accuracy': 0.65625, 'precision': 0.6666666666666666, 'recall': 0.7777777777777778, 'f1': 0.717948717948718, 'specificity': 0.5, 'confusion_matrix': [[7, 7], [4, 14]], 'true_negatives': 7, 'false_positives': 7, 'false_negatives': 4, 'true_positives': 14}","{'mcc': 0.2698412698412698, 'accuracy': 0.625, 'precision': 0.7142857142857143, 'recall': 0.5555555555555556, 'f1': 0.625, 'specificity': 0.7142857142857143, 'confusion_matrix': [[10, 4], [8, 10]], 'true_negatives': 10, 'false_positives': 4, 'false_negatives': 8, 'true_positives': 10}",-0.020288156751559927,-0.03125,-0.09294871794871795,regression,0.020288156751559927
CNR2,mouse,363,"{'mcc': 0.6991272280664249, 'accuracy': 0.8622589531680441, 'precision': 0.8688524590163934, 'recall': 0.9217391304347826, 'f1': 0.8945147679324894, 'specificity': 0.7593984962406015, 'confusion_matrix': [[101, 32], [18, 212]], 'true_negatives': 101, 'false_positives': 32, 'false_negatives': 18, 'true_positives': 212}","{'mcc': 0.6888773994902269, 'accuracy': 0.8539944903581267, 'precision': 0.8849557522123894, 'recall': 0.8810572687224669, 'f1': 0.8830022075055187, 'specificity': 0.8088235294117647, 'confusion_matrix': [[110, 26], [27, 200]], 'true_negatives': 110, 'false_positives': 26, 'false_negatives': 27, 'true_positives': 200}",-0.01024982857619805,-0.008264462809917439,-0.011512560426970686,regression,0.01024982857619805
MAOA,rat,336,"{'mcc': 0.7679819468857122, 'accuracy': 0.9375, 'precision': 0.9302325581395349, 'recall': 0.6896551724137931, 'f1': 0.7920792079207921, 'specificity': 0.9892086330935251, 'confusion_matrix': [[275, 3], [18, 40]], 'true_negatives': 275, 'false_positives': 3, 'false_negatives': 18, 'true_positives': 40}","{'mcc': 0.7139304177486642, 'accuracy': 0.9226190476190477, 'precision': 0.7884615384615384, 'recall': 0.7321428571428571, 'f1': 0.7592592592592593, 'specificity': 0.9607142857142857, 'confusion_matrix': [[269, 11], [15, 41]], 'true_negatives': 269, 'false_positives': 11, 'false_negatives': 15, 'true_positives': 41}",-0.05405152913704803,-0.014880952380952328,-0.032819948661532816,regression,0.05405152913704803
MAOB,rat,263,"{'mcc': 0.484081086732218, 'accuracy': 0.7984790874524715, 'precision': 0.7068965517241379, 'recall': 0.5324675324675324, 'f1': 0.6074074074074074, 'specificity': 0.9086021505376344, 'confusion_matrix': [[169, 17], [36, 41]], 'true_negatives': 169, 'false_positives': 17, 'false_negatives': 36, 'true_positives': 41}","{'mcc': 0.5555875288020072, 'accuracy': 0.7908745247148289, 'precision': 0.5825242718446602, 'recall': 0.8333333333333334, 'f1': 0.6857142857142857, 'specificity': 0.774869109947644, 'confusion_matrix': [[148, 43], [12, 60]], 'true_negatives': 148, 'false_positives': 43, 'false_negatives': 12, 'true_positives': 60}",0.07150644206978923,-0.0076045627376426506,0.07830687830687832,classification,0.07150644206978923
HSD11B1,rat,67,"{'mcc': 0.6272483391435818, 'accuracy': 0.835820895522388, 'precision': 0.8235294117647058, 'recall': 0.9545454545454546, 'f1': 0.8842105263157894, 'specificity': 0.6086956521739131, 'confusion_matrix': [[14, 9], [2, 42]], 'true_negatives': 14, 'false_positives': 9, 'false_negatives': 2, 'true_positives': 42}","{'mcc': 0.8064953704818743, 'accuracy': 0.9104477611940298, 'precision': 0.88, 'recall': 1.0, 'f1': 0.9361702127659575, 'specificity': 0.7391304347826086, 'confusion_matrix': [[17, 6], [0, 44]], 'true_negatives': 17, 'false_positives': 6, 'false_negatives': 0, 'true_positives': 44}",0.17924703133829245,0.07462686567164178,0.05195968645016802,classification,0.17924703133829245
HTR2B,rat,35,"{'mcc': -0.15309310892394862, 'accuracy': 0.7142857142857143, 'precision': 0.78125, 'recall': 0.8928571428571429, 'f1': 0.8333333333333334, 'specificity': 0.0, 'confusion_matrix': [[0, 7], [3, 25]], 'true_negatives': 0, 'false_positives': 7, 'false_negatives': 3, 'true_positives': 25}","{'mcc': 0.15161960871578067, 'accuracy': 0.7428571428571429, 'precision': 0.8275862068965517, 'recall': 0.8571428571428571, 'f1': 0.8421052631578947, 'specificity': 0.2857142857142857, 'confusion_matrix': [[2, 5], [4, 24]], 'true_negatives': 2, 'false_positives': 5, 'false_negatives': 4, 'true_positives': 24}",0.3047127176397293,0.02857142857142858,0.00877192982456132,classification,0.3047127176397293
SLC6A4,rat,1995,"{'mcc': 0.6670375880841488, 'accuracy': 0.8345864661654135, 'precision': 0.8267370272647317, 'recall': 0.8760484622553588, 'f1': 0.8506787330316742, 'specificity': 0.7863340563991323, 'confusion_matrix': [[725, 197], [133, 940]], 'true_negatives': 725, 'false_positives': 197, 'false_negatives': 133, 'true_positives': 940}","{'mcc': 0.6469106671028022, 'accuracy': 0.8225563909774436, 'precision': 0.8562753036437247, 'recall': 0.7996219281663516, 'f1': 0.8269794721407625, 'specificity': 0.848452508004269, 'confusion_matrix': [[795, 142], [212, 846]], 'true_negatives': 795, 'false_positives': 142, 'false_negatives': 212, 'true_positives': 846}",-0.020126920981346608,-0.012030075187969946,-0.023699260890911678,regression,0.020126920981346608
SLC6A3,rat,1114,"{'mcc': 0.6748822962965064, 'accuracy': 0.8411131059245961, 'precision': 0.8286334056399133, 'recall': 0.7958333333333333, 'f1': 0.8119022316684378, 'specificity': 0.8753943217665615, 'confusion_matrix': [[555, 79], [98, 382]], 'true_negatives': 555, 'false_positives': 79, 'false_negatives': 98, 'true_positives': 382}","{'mcc': 0.6310563807284498, 'accuracy': 0.8195691202872532, 'precision': 0.7906976744186046, 'recall': 0.7857142857142857, 'f1': 0.7881981032665965, 'specificity': 0.8448275862068966, 'confusion_matrix': [[539, 99], [102, 374]], 'true_negatives': 539, 'false_positives': 99, 'false_negatives': 102, 'true_positives': 374}",-0.043825915568056595,-0.021543985637342944,-0.02370412840184133,regression,0.043825915568056595
ADRA1A,rat,146,"{'mcc': 0.7217401229192171, 'accuracy': 0.8767123287671232, 'precision': 0.8679245283018868, 'recall': 0.9583333333333334, 'f1': 0.9108910891089109, 'specificity': 0.72, 'confusion_matrix': [[36, 14], [4, 92]], 'true_negatives': 36, 'false_positives': 14, 'false_negatives': 4, 'true_positives': 92}","{'mcc': 0.8016248501074037, 'accuracy': 0.910958904109589, 'precision': 0.8952380952380953, 'recall': 0.9791666666666666, 'f1': 0.9353233830845771, 'specificity': 0.78, 'confusion_matrix': [[39, 11], [2, 94]], 'true_negatives': 39, 'false_positives': 11, 'false_negatives': 2, 'true_positives': 94}",0.07988472718818662,0.03424657534246578,0.024432293975666153,classification,0.07988472718818662
ADRA2A,rat,39,"{'mcc': 0.6148873228105182, 'accuracy': 0.8205128205128205, 'precision': 0.8333333333333334, 'recall': 0.6666666666666666, 'f1': 0.7407407407407407, 'specificity': 0.9166666666666666, 'confusion_matrix': [[22, 2], [5, 10]], 'true_negatives': 22, 'false_positives': 2, 'false_negatives': 5, 'true_positives': 10}","{'mcc': 0.4085643303447759, 'accuracy': 0.6923076923076923, 'precision': 0.55, 'recall': 0.7857142857142857, 'f1': 0.6470588235294118, 'specificity': 0.64, 'confusion_matrix': [[16, 9], [3, 11]], 'true_negatives': 16, 'false_positives': 9, 'false_negatives': 3, 'true_positives': 11}",-0.20632299246574226,-0.1282051282051282,-0.0936819172113289,regression,0.20632299246574226
ADRB1,rat,53,"{'mcc': 0.6657752989431589, 'accuracy': 0.8490566037735849, 'precision': 0.8666666666666667, 'recall': 0.6842105263157895, 'f1': 0.7647058823529411, 'specificity': 0.9411764705882353, 'confusion_matrix': [[32, 2], [6, 13]], 'true_negatives': 32, 'false_positives': 2, 'false_negatives': 6, 'true_positives': 13}","{'mcc': 0.37777264669154326, 'accuracy': 0.7169811320754716, 'precision': 0.5789473684210527, 'recall': 0.6111111111111112, 'f1': 0.5945945945945946, 'specificity': 0.7714285714285715, 'confusion_matrix': [[27, 8], [7, 11]], 'true_negatives': 27, 'false_positives': 8, 'false_negatives': 7, 'true_positives': 11}",-0.28800265225161564,-0.1320754716981133,-0.1701112877583465,regression,0.28800265225161564
CNR2,rat,194,"{'mcc': 0.5388600313182526, 'accuracy': 0.8247422680412371, 'precision': 0.8343949044585988, 'recall': 0.9424460431654677, 'f1': 0.8851351351351351, 'specificity': 0.5272727272727272, 'confusion_matrix': [[29, 26], [8, 131]], 'true_negatives': 29, 'false_positives': 26, 'false_negatives': 8, 'true_positives': 131}","{'mcc': 0.5293982455075259, 'accuracy': 0.8092783505154639, 'precision': 0.852112676056338, 'recall': 0.8832116788321168, 'f1': 0.8673835125448028, 'specificity': 0.631578947368421, 'confusion_matrix': [[36, 21], [16, 121]], 'true_negatives': 36, 'false_positives': 21, 'false_negatives': 16, 'true_positives': 121}",-0.009461785810726653,-0.015463917525773141,-0.01775162259033225,regression,0.009461785810726653
CHRM1,rat,261,"{'mcc': 0.7941829520617333, 'accuracy': 0.9042145593869731, 'precision': 0.826530612244898, 'recall': 0.9101123595505618, 'f1': 0.8663101604278075, 'specificity': 0.9011627906976745, 'confusion_matrix': [[155, 17], [8, 81]], 'true_negatives': 155, 'false_positives': 17, 'false_negatives': 8, 'true_positives': 81}","{'mcc': 0.8173767943989353, 'accuracy': 0.9157088122605364, 'precision': 0.84375, 'recall': 0.9204545454545454, 'f1': 0.8804347826086957, 'specificity': 0.9132947976878613, 'confusion_matrix': [[158, 15], [7, 81]], 'true_negatives': 158, 'false_positives': 15, 'false_negatives': 7, 'true_positives': 81}",0.02319384233720201,0.011494252873563204,0.014124622180888169,classification,0.02319384233720201
CHRM2,rat,130,"{'mcc': 0.6315315278804936, 'accuracy': 0.8153846153846154, 'precision': 0.8, 'recall': 0.8484848484848485, 'f1': 0.8235294117647058, 'specificity': 0.78125, 'confusion_matrix': [[50, 14], [10, 56]], 'true_negatives': 50, 'false_positives': 14, 'false_negatives': 10, 'true_positives': 56}","{'mcc': 0.6307692307692307, 'accuracy': 0.8153846153846154, 'precision': 0.8153846153846154, 'recall': 0.8153846153846154, 'f1': 0.8153846153846154, 'specificity': 0.8153846153846154, 'confusion_matrix': [[53, 12], [12, 53]], 'true_negatives': 53, 'false_positives': 12, 'false_negatives': 12, 'true_positives': 53}",-0.0007622971112628552,0.0,-0.008144796380090469,regression,0.0007622971112628552
CHRM3,rat,93,"{'mcc': 0.4840398047969464, 'accuracy': 0.8602150537634409, 'precision': 0.8690476190476191, 'recall': 0.9733333333333334, 'f1': 0.9182389937106918, 'specificity': 0.3888888888888889, 'confusion_matrix': [[7, 11], [2, 73]], 'true_negatives': 7, 'false_positives': 11, 'false_negatives': 2, 'true_positives': 73}","{'mcc': 0.3262363486962221, 'accuracy': 0.8172043010752689, 'precision': 0.8536585365853658, 'recall': 0.9333333333333333, 'f1': 0.89171974522293, 'specificity': 0.3333333333333333, 'confusion_matrix': [[6, 12], [5, 70]], 'true_negatives': 6, 'false_positives': 12, 'false_negatives': 5, 'true_positives': 70}",-0.15780345610072433,-0.043010752688172005,-0.02651924848776188,regression,0.15780345610072433
CHRNA7,rat,1018,"{'mcc': 0.6021168472518047, 'accuracy': 0.8045186640471512, 'precision': 0.7685393258426966, 'recall': 0.7808219178082192, 'f1': 0.7746319365798414, 'specificity': 0.8224137931034483, 'confusion_matrix': [[477, 103], [96, 342]], 'true_negatives': 477, 'false_positives': 103, 'false_negatives': 96, 'true_positives': 342}","{'mcc': 0.5717064977605071, 'accuracy': 0.7858546168958742, 'precision': 0.7216494845360825, 'recall': 0.8083140877598153, 'f1': 0.7625272331154684, 'specificity': 0.7692307692307693, 'confusion_matrix': [[450, 135], [83, 350]], 'true_negatives': 450, 'false_positives': 135, 'false_negatives': 83, 'true_positives': 350}",-0.030410349491297617,-0.018664047151277008,-0.012104703464372979,regression,0.030410349491297617
