protein_name,organism,n_samples,regression_metrics,classification_metrics,mcc_difference,accuracy_difference,f1_difference,better_model,mcc_improvement
ADRB1,human,614,"{'mcc': 0.5766840683363961, 'accuracy': 0.7899022801302932, 'precision': 0.8177966101694916, 'recall': 0.6917562724014337, 'f1': 0.7495145631067961, 'specificity': 0.8716417910447761, 'confusion_matrix': [[292, 43], [86, 193]], 'true_negatives': 292, 'false_positives': 43, 'false_negatives': 86, 'true_positives': 193}","{'mcc': 0.6252739192794464, 'accuracy': 0.8159609120521173, 'precision': 0.8134920634920635, 'recall': 0.7564575645756457, 'f1': 0.7839388145315488, 'specificity': 0.8629737609329446, 'confusion_matrix': [[296, 47], [66, 205]], 'true_negatives': 296, 'false_positives': 47, 'false_negatives': 66, 'true_positives': 205}",0.04858985094305035,0.026058631921824116,0.034424251424752694,classification,0.04858985094305035
ADRB2,human,860,"{'mcc': 0.6749610569759605, 'accuracy': 0.8674418604651163, 'precision': 0.890302066772655, 'recall': 0.9256198347107438, 'f1': 0.9076175040518638, 'specificity': 0.7294117647058823, 'confusion_matrix': [[186, 69], [45, 560]], 'true_negatives': 186, 'false_positives': 69, 'false_negatives': 45, 'true_positives': 560}","{'mcc': 0.6721009846493352, 'accuracy': 0.8569767441860465, 'precision': 0.9179755671902269, 'recall': 0.8737541528239202, 'f1': 0.8953191489361703, 'specificity': 0.8178294573643411, 'confusion_matrix': [[211, 47], [76, 526]], 'true_negatives': 211, 'false_positives': 47, 'false_negatives': 76, 'true_positives': 526}",-0.002860072326625329,-0.010465116279069764,-0.012298355115693549,regression,0.002860072326625329
CNR2,human,4295,"{'mcc': 0.5495682307284846, 'accuracy': 0.7743888242142025, 'precision': 0.7591333899745115, 'recall': 0.8163544997715853, 'f1': 0.7867048206031257, 'specificity': 0.7307692307692307, 'confusion_matrix': [[1539, 567], [402, 1787]], 'true_negatives': 1539, 'false_positives': 567, 'false_negatives': 402, 'true_positives': 1787}","{'mcc': 0.5566164534376226, 'accuracy': 0.7781140861466822, 'precision': 0.7678018575851393, 'recall': 0.8022181146025879, 'f1': 0.7846327683615819, 'specificity': 0.7536367902393243, 'confusion_matrix': [[1606, 525], [428, 1736]], 'true_negatives': 1606, 'false_positives': 525, 'false_negatives': 428, 'true_positives': 1736}",0.0070482227091379634,0.0037252619324796843,-0.0020720522415438314,classification,0.0070482227091379634
CHRM1,human,1103,"{'mcc': 0.4875420831967659, 'accuracy': 0.772438803263826, 'precision': 0.8085106382978723, 'recall': 0.4797979797979798, 'f1': 0.6022187004754358, 'specificity': 0.9363507779349364, 'confusion_matrix': [[662, 45], [206, 190]], 'true_negatives': 662, 'false_positives': 45, 'false_negatives': 206, 'true_positives': 190}","{'mcc': 0.5480321044773948, 'accuracy': 0.7960108794197642, 'precision': 0.728021978021978, 'recall': 0.6777493606138107, 'f1': 0.7019867549668874, 'specificity': 0.8609550561797753, 'confusion_matrix': [[613, 99], [126, 265]], 'true_negatives': 613, 'false_positives': 99, 'false_negatives': 126, 'true_positives': 265}",0.060490021280628914,0.02357207615593826,0.09976805449145165,classification,0.060490021280628914
CHRM2,human,721,"{'mcc': 0.6096965029331164, 'accuracy': 0.8044382801664355, 'precision': 0.8213256484149856, 'recall': 0.782967032967033, 'f1': 0.8016877637130801, 'specificity': 0.8263305322128851, 'confusion_matrix': [[295, 62], [79, 285]], 'true_negatives': 295, 'false_positives': 62, 'false_negatives': 79, 'true_positives': 285}","{'mcc': 0.6171236479947015, 'accuracy': 0.8085991678224688, 'precision': 0.8096590909090909, 'recall': 0.800561797752809, 'f1': 0.8050847457627118, 'specificity': 0.8164383561643835, 'confusion_matrix': [[298, 67], [71, 285]], 'true_negatives': 298, 'false_positives': 67, 'false_negatives': 71, 'true_positives': 285}",0.00742714506158515,0.004160887656033285,0.0033969820496316805,classification,0.00742714506158515
CHRM3,human,1209,"{'mcc': 0.7245690490900549, 'accuracy': 0.8808933002481389, 'precision': 0.9001189060642093, 'recall': 0.9265605875152999, 'f1': 0.9131483715319663, 'specificity': 0.7857142857142857, 'confusion_matrix': [[308, 84], [60, 757]], 'true_negatives': 308, 'false_positives': 84, 'false_negatives': 60, 'true_positives': 757}","{'mcc': 0.6930849673813241, 'accuracy': 0.8469809760132341, 'precision': 0.9492017416545718, 'recall': 0.8134328358208955, 'f1': 0.8760884125920965, 'specificity': 0.9135802469135802, 'confusion_matrix': [[370, 35], [150, 654]], 'true_negatives': 370, 'false_positives': 35, 'false_negatives': 150, 'true_positives': 654}",-0.03148408170873085,-0.03391232423490487,-0.0370599589398698,regression,0.03148408170873085
CHRNA7,human,595,"{'mcc': 0.5884292300693085, 'accuracy': 0.8319327731092437, 'precision': 0.7515923566878981, 'recall': 0.659217877094972, 'f1': 0.7023809523809523, 'specificity': 0.90625, 'confusion_matrix': [[377, 39], [61, 118]], 'true_negatives': 377, 'false_positives': 39, 'false_negatives': 61, 'true_positives': 118}","{'mcc': 0.6265262270582874, 'accuracy': 0.838655462184874, 'precision': 0.7076923076923077, 'recall': 0.7796610169491526, 'f1': 0.7419354838709677, 'specificity': 0.8636363636363636, 'confusion_matrix': [[361, 57], [39, 138]], 'true_negatives': 361, 'false_positives': 57, 'false_negatives': 39, 'true_positives': 138}",0.03809699698897895,0.006722689075630228,0.03955453149001542,classification,0.03809699698897895
HRH1,human,945,"{'mcc': 0.6316004197102869, 'accuracy': 0.8137566137566138, 'precision': 0.8571428571428571, 'recall': 0.7418655097613883, 'f1': 0.7953488372093023, 'specificity': 0.8822314049586777, 'confusion_matrix': [[427, 57], [119, 342]], 'true_negatives': 427, 'false_positives': 57, 'false_negatives': 119, 'true_positives': 342}","{'mcc': 0.6261965151907541, 'accuracy': 0.8116402116402116, 'precision': 0.8530927835051546, 'recall': 0.7323008849557522, 'f1': 0.7880952380952381, 'specificity': 0.8843813387423936, 'confusion_matrix': [[436, 57], [121, 331]], 'true_negatives': 436, 'false_positives': 57, 'false_negatives': 121, 'true_positives': 331}",-0.005403904519532765,-0.002116402116402183,-0.007253599114064202,regression,0.005403904519532765
HSD11B1,mouse,612,"{'mcc': 0.49453480543789596, 'accuracy': 0.7598039215686274, 'precision': 0.77, 'recall': 0.8484848484848485, 'f1': 0.8073394495412844, 'specificity': 0.6305220883534136, 'confusion_matrix': [[157, 92], [55, 308]], 'true_negatives': 157, 'false_positives': 92, 'false_negatives': 55, 'true_positives': 308}","{'mcc': 0.5032256879064626, 'accuracy': 0.7549019607843137, 'precision': 0.8119402985074626, 'recall': 0.7576601671309192, 'f1': 0.7838616714697406, 'specificity': 0.7509881422924901, 'confusion_matrix': [[190, 63], [87, 272]], 'true_negatives': 190, 'false_positives': 63, 'false_negatives': 87, 'true_positives': 272}",0.00869088246856664,-0.004901960784313708,-0.02347777807154383,classification,0.00869088246856664
ADRB1,mouse,32,"{'mcc': 0.29012942659282975, 'accuracy': 0.65625, 'precision': 0.6666666666666666, 'recall': 0.7777777777777778, 'f1': 0.717948717948718, 'specificity': 0.5, 'confusion_matrix': [[7, 7], [4, 14]], 'true_negatives': 7, 'false_positives': 7, 'false_negatives': 4, 'true_positives': 14}","{'mcc': 0.2519763153394848, 'accuracy': 0.625, 'precision': 0.6875, 'recall': 0.6111111111111112, 'f1': 0.6470588235294118, 'specificity': 0.6428571428571429, 'confusion_matrix': [[9, 5], [7, 11]], 'true_negatives': 9, 'false_positives': 5, 'false_negatives': 7, 'true_positives': 11}",-0.03815311125334497,-0.03125,-0.07088989441930615,regression,0.03815311125334497
CNR2,mouse,363,"{'mcc': 0.6872965834762008, 'accuracy': 0.8567493112947658, 'precision': 0.8677685950413223, 'recall': 0.9130434782608695, 'f1': 0.8898305084745762, 'specificity': 0.7593984962406015, 'confusion_matrix': [[101, 32], [20, 210]], 'true_negatives': 101, 'false_positives': 32, 'false_negatives': 20, 'true_positives': 210}","{'mcc': 0.6753186829338744, 'accuracy': 0.8484848484848485, 'precision': 0.8739130434782608, 'recall': 0.8854625550660793, 'f1': 0.8796498905908097, 'specificity': 0.7867647058823529, 'confusion_matrix': [[107, 29], [26, 201]], 'true_negatives': 107, 'false_positives': 29, 'false_negatives': 26, 'true_positives': 201}",-0.011977900542326392,-0.008264462809917328,-0.010180617883766563,regression,0.011977900542326392
MAOA,rat,336,"{'mcc': 0.7679819468857122, 'accuracy': 0.9375, 'precision': 0.9302325581395349, 'recall': 0.6896551724137931, 'f1': 0.7920792079207921, 'specificity': 0.9892086330935251, 'confusion_matrix': [[275, 3], [18, 40]], 'true_negatives': 275, 'false_positives': 3, 'false_negatives': 18, 'true_positives': 40}","{'mcc': 0.7393051494605678, 'accuracy': 0.9285714285714286, 'precision': 0.7962962962962963, 'recall': 0.7678571428571429, 'f1': 0.7818181818181819, 'specificity': 0.9607142857142857, 'confusion_matrix': [[269, 11], [13, 43]], 'true_negatives': 269, 'false_positives': 11, 'false_negatives': 13, 'true_positives': 43}",-0.028676797425144396,-0.008928571428571397,-0.01026102610261026,regression,0.028676797425144396
MAOB,rat,263,"{'mcc': 0.5042351671201512, 'accuracy': 0.8060836501901141, 'precision': 0.7241379310344828, 'recall': 0.5454545454545454, 'f1': 0.6222222222222222, 'specificity': 0.9139784946236559, 'confusion_matrix': [[170, 16], [35, 42]], 'true_negatives': 170, 'false_positives': 16, 'false_negatives': 35, 'true_positives': 42}","{'mcc': 0.5144825538345801, 'accuracy': 0.779467680608365, 'precision': 0.5714285714285714, 'recall': 0.7777777777777778, 'f1': 0.6588235294117647, 'specificity': 0.7801047120418848, 'confusion_matrix': [[149, 42], [16, 56]], 'true_negatives': 149, 'false_positives': 42, 'false_negatives': 16, 'true_positives': 56}",0.01024738671442893,-0.026615969581749055,0.036601307189542465,classification,0.01024738671442893
