model_type,total_comparisons,classification_wins,regression_wins,classification_win_rate,mean_mcc_difference,std_mcc_difference,mean_accuracy_difference,mean_f1_difference
morgan,44,29,15,0.6590909090909091,0.03427702107851667,0.09511302722627399,-0.001288753403766433,0.040569737224576345
esm_morgan,44,24,20,0.5454545454545454,0.023568963883441582,0.10858402001504458,-0.006261170645645061,0.03500981115890922
