target_name,high,low,medium
ADRA1A,0.3149954079242675,0.3149954079242675,0.3149954079242675
ADRA2A,0.2229730483140333,0.22297304831403342,0.22297304831403297
ADRB1,0.20817735128600334,0.1703825590950656,0.19792143705896825
ADRB2,0.5736150425127341,0.573615042512734,0.5736150425127341
ALDH1A1,0.03967856855714624,0.039678568557146354,0.0396785685571458
CHRM1,0.2615463765166367,0.26154637651663715,0.2615463765166369
CHRM2,0.3172871273635339,0.3172871273635337,0.3172871273635336
CHRM3,0.5749509322805118,0.5749509322805115,0.5749509322805116
CHRNA7,0.3541744118796627,0.3541744118796625,0.3541744118796628
CNR2,0.5939129955233944,0.5939129955233944,0.5939129955233944
CYP1A2,0.31251353073490673,0.3125135307349065,0.31251353073490706
CYP2B6,0.46327138330071205,0.4632713833007125,0.4632713833007125
CYP2C19,0.5186932879482705,0.5186932879482704,0.5186932879482707
CYP2C9,0.31518651963320665,0.3151865196332063,0.31518651963320654
CYP2D6,0.14828747236260953,0.14828747236260953,0.14828747236260953
CYP3A4,0.38674668879931917,0.3869838727835456,0.38674668879931884
HRH1,0.1973222781887406,0.22945460749827873,0.21337143008756443
HSD11B1,0.5908790392997367,0.5908790392997367,0.5908790392997367
HTR2B,0.0033693044591783794,0.0420819310186582,0.0033693044591780463
KCNH2,0.3275936611179924,0.3275936611179927,0.3275936611179926
MAOA,0.17185887602989813,0.1718588760298978,0.17185887602989802
MAOB,0.27938987856244746,0.2760531492769085,0.27938987856244757
NR1I2,0.31987539696592326,0.31987539696592315,0.31987539696592315
NR1I3,0.6028526808148755,0.6028526808148753,0.6028526808148756
SCN5A,0.08644067906446784,0.08644067906446817,0.08644067906446706
SLC6A2,0.31005744870597196,0.3100574487059722,0.3100574487059722
SLC6A3,0.3405157926507978,0.5910881981923723,0.34051579265079623
SLC6A4,0.5812259966823212,0.5812259966823212,0.5812259966823214
SLCO2B1,0.20764335229532338,0.20764335229532305,0.2076433522953235
XDH,0.5145268975243414,0.5488370969047113,0.5145268975243419
