target_name,high,low,medium
ADRA1A,0.23917278146449572,0.23917278146449578,0.23917278146449572
ADRA2A,0.10480119574455675,0.10480119574455651,0.10480119574455664
ADRB1,0.21442442145884116,0.1275333623899762,0.13888460127613772
ADRB2,0.37653246579681515,0.3765324657968151,0.3765324657968152
ALDH1A1,0.40395805738295804,0.4039580573829575,0.40395805738295765
CHRM1,0.3295432847254992,0.32954328472549915,0.3295432847254993
CHRM2,0.23886233121146602,0.23886233121146594,0.23886233121146586
CHRM3,0.5714342503858134,0.5714342503858134,0.5714342503858133
CHRNA7,0.3049372966048581,0.30493729660485813,0.3049372966048581
CNR2,0.3600332880988194,0.36003328809881935,0.3600332880988193
CYP1A2,0.32069545746942285,0.32069545746942296,0.32069545746942296
CYP2B6,0.10495157386395004,0.10495157386395063,0.10495157386395089
CYP2C19,0.42173534292400666,0.4217353429240065,0.4217353429240066
CYP2C9,0.43440663342688,0.4344066334268799,0.4344066334268798
CYP2D6,0.18586742333814205,0.18586742333814193,0.18586742333814213
CYP3A4,0.36390567206434893,0.36449918198346026,0.3639056720643489
HRH1,0.25456476668802086,0.21141311602302637,0.25966174856458313
HSD11B1,0.31774388429079126,0.31774388429079137,0.3177438842907912
HTR2B,0.049520471375858445,0.060298933088270744,0.049520471375858535
KCNH2,0.2982260834361849,0.29822608343618506,0.29822608343618495
MAOA,0.056486138706136925,0.056486138706137015,0.05648613870613715
MAOB,0.21731351161326534,0.20251792361626264,0.21731351161326523
NR1I2,0.3314240773833517,0.3314240773833515,0.3314240773833517
NR1I3,0.5122526223305314,0.512252622330531,0.512252622330531
SCN5A,0.2285257828916884,0.22852578289168876,0.22852578289168846
SLC6A2,0.19862285460139148,0.19862285460139167,0.1986228546013915
SLC6A3,0.10639507821287533,0.586751592405424,0.1063950782128759
SLC6A4,0.5077991803784542,0.5077991803784542,0.5077991803784541
SLCO2B1,-0.9187719374044668,-0.9187719374044676,-0.9187719374044683
XDH,0.48477370935298525,0.5467277124665173,0.48477370935298475
