protein_id,n_samples,std_r2_mean,std_r2_std,04_r2_mean,04_r2_std,difference,std_scores,04_scores
Q8N752,48,-0.08179502233108256,0.15389307789281156,-0.12654978021189134,0.14468982147622622,-0.04475475788080878,"[-0.28787306541666835, 0.08185339826413485, -0.03936539984071419]","[-0.32967902426815976, -0.003616973537418522, -0.046353342830095734]"
P0C6U8,34,0.3904322216918401,0.23445678384425783,0.3462327315813883,0.24663784902566036,-0.04419949011045182,"[0.3661728199501786, 0.6889420655653624, 0.11618177955997933]","[0.27395292971103713, 0.6778841645067617, 0.08686110052636598]"
O70444,51,0.03521961110721036,0.18118634272278258,-0.0056039424225190855,0.17105503997874213,-0.04082355352972944,"[-0.21843693012116816, 0.19345656687261825, 0.13063919657018097]","[-0.23106075123161496, 0.1830629935349085, 0.03118593042914919]"
Q00537,65,-0.6051622591020177,0.2257898325183747,-0.6459721783224369,0.3049442242873069,-0.04080991922041921,"[-0.4850066161402853, -0.9214500312119589, -0.40903012995380883]","[-0.44603729450174234, -1.076856530593958, -0.4150227098716106]"
P54762,55,-0.10432514163942308,0.022640136557442105,-0.14440042946477707,0.05823606461197131,-0.040075287825353995,"[-0.074635503199461, -0.1295506015904806, -0.10878932012832765]","[-0.06740984048961463, -0.15756795778205146, -0.20822349012266517]"
P20813,33,0.2057667091574322,0.2658858338721324,0.1659291994304262,0.2641185215471352,-0.039837509727006004,"[0.5653302543101304, 0.12126587763823504, -0.06929600447606887]","[0.5270591586690943, 0.0679883963066873, -0.09725995668450294]"
P61586,35,0.33910834510176296,0.10346692650659932,0.29987503021519896,0.09115793703250136,-0.03923331488656401,"[0.484858618722501, 0.25501934964715267, 0.27744706693563514]","[0.40218613929474845, 0.18079317778413162, 0.31664577356671675]"
P22735,69,-0.39632202655643356,0.5486843801659562,-0.4349158904933034,0.5610505383606195,-0.038593863936869865,"[0.03717098861115453, -0.05571346068360761, -1.1704236075968475]","[-0.013043845661193432, -0.06388581146186678, -1.22781801435685]"
P00748,62,0.2603237649269659,0.2193528981089546,0.2226749013544025,0.21078351130567455,-0.03764886357256342,"[0.49699062760733903, -0.03169080512715294, 0.3156714723007117]","[0.478502463004415, -0.037748226245391425, 0.22727046730418388]"
P60568,43,0.5330326347039165,0.11373759897047299,0.49559817750576923,0.07792207056549257,-0.03743445719814725,"[0.42073291032290405, 0.6889118358941057, 0.48945315789473964]","[0.4260804268988996, 0.6044059244058814, 0.4563081812125266]"
Q86U86,40,0.2131877922876093,0.25411550388013254,0.17579454518828683,0.2671989567877887,-0.037393247099322485,"[0.029775760847437382, 0.5725354602418393, 0.03725215577355123]","[0.009265213117211513, 0.5528174620572182, -0.034699039609569216]"
P40818,39,-0.04347558274154998,0.22962398044098647,-0.08029666917536415,0.27416794543919987,-0.036821086433814175,"[-0.36815508699434707, 0.11355632340344812, 0.124172015366249]","[-0.45053254845101676, 0.0050909404105345946, 0.2045516005143897]"
P20393,34,0.016036164799432224,0.3138807410532107,-0.020753530216887195,0.28760292746564425,-0.036789695016319415,"[0.2949822535670308, 0.1756007252032471, -0.4224744843719812]","[0.26317906225103227, 0.08949016151760714, -0.414929814419301]"
Q91H74,46,0.009642868923061246,0.481354554524748,-0.02686619575423081,0.517649337849571,-0.03650906467729206,"[0.27369299693590254, -0.665761858086015, 0.42099746791929615]","[0.2465966370775886, -0.7516918348580073, 0.42449661051772625]"
P54687,39,0.1714860048549385,0.22340406212351593,0.13510458259299937,0.25183864174462994,-0.036381422261939134,"[0.35730514075008946, 0.2998624486914707, -0.14270957487674463]","[0.3520641102738291, 0.2712275062379299, -0.21797786873276093]"
Q9NZ08,81,0.4611373037779603,0.17304343039608425,0.4262263875431424,0.21183754265761365,-0.0349109162348179,"[0.22221007485217692, 0.6264417042643422, 0.5347601322173617]","[0.13159605931135765, 0.6205249953743215, 0.5265581079437481]"
P00520,37,0.2659049840920823,0.23426581270186808,0.23109816008505232,0.24021518630858862,-0.034806824007029974,"[-0.06470556656228021, 0.4126844841773334, 0.4497360346611937]","[-0.10770735364606976, 0.3789806590769781, 0.4220211748242486]"
Q921V5,46,-0.17173024460265637,0.24793085543061832,-0.20628056518896212,0.2624806302844614,-0.03455032058630575,"[-0.4898586786062742, 0.115006554501347, -0.1403386097030419]","[-0.5376504143932275, 0.10428237427584397, -0.1854736554495029]"
Q16512,107,0.3312371002344921,0.10539169133595754,0.29670491830449786,0.12169626220452237,-0.03453218192999424,"[0.383288288207128, 0.1842606142425398, 0.4261623982538084]","[0.3719924868054767, 0.12503200709372564, 0.39309026101429123]"
Q15375,59,-0.15148151230463344,0.12471442946055392,-0.18566838023323617,0.09667935254619953,-0.03418686792860273,"[-0.1443396513569557, -0.30767052408000173, -0.00243436147694287]","[-0.13859795038474476, -0.3203729559928181, -0.09803423432214564]"
Q6P3R8,49,0.06811888701987057,0.20793008290982942,0.034472789138421146,0.21495181685257492,-0.03364609788144942,"[-0.22553063246548244, 0.2283544203363862, 0.20153287318870794]","[-0.26928939125593376, 0.19649432675594902, 0.1762134319152482]"
P04401,47,-0.014818996695346734,0.22823421757293635,-0.04727538194106925,0.2366401101329407,-0.032456385245722516,"[-0.31068593758109087, 0.021385551462920094, 0.24484339603213057]","[-0.34957037462796703, -0.020470620137748474, 0.22821484894250776]"
P08176,41,-0.4538746391293327,0.7768707108041106,-0.48614641825508725,0.8277254591269182,-0.032271779125754574,"[-1.520001853096832, -0.15064080542648206, 0.309018741135316]","[-1.6249473245495492, -0.15135953120642043, 0.31786760099070777]"
O60706,51,-0.2815262711945311,0.2707584027483193,-0.3136576653984602,0.1729773508032297,-0.032131394203929076,"[0.08572141319623394, -0.37127773875047354, -0.5590224880293537]","[-0.06925727797247694, -0.44497289097521153, -0.4267428272476921]"
O43924,105,-0.008195642002429246,0.05254465011617758,-0.04003881806027295,0.05397436344293905,-0.0318431760578437,"[-0.08198808549988423, 0.036277970177935326, 0.021123189314661173]","[-0.1115921325718845, -0.027282591956109714, 0.018758270347175365]"
Q9UBE8,87,0.25537997761509007,0.1529549097950668,0.22358491194286026,0.16503086837491648,-0.03179506567222981,"[0.3030464187873383, 0.0488208983359365, 0.4142726157219955]","[0.2779745600272058, -0.0001655172364194435, 0.3929456930377945]"
P30680,125,0.4400750172579286,0.3260716242449164,0.40869897821559215,0.2936407947040222,-0.031376039042336434,"[-0.014313939556760635, 0.7353287577110874, 0.5992102336194589]","[-0.0027003420905324926, 0.663391739009036, 0.5654055377282728]"
Q58D55,48,0.6663179033873338,0.05594891015485916,0.6349504802341425,0.03685481182080726,-0.0313674231531913,"[0.6114719507701469, 0.7431307767641508, 0.6443509826277036]","[0.5998808984774909, 0.6858770224603808, 0.6190935197645557]"
O15229,94,0.3034222959957623,0.19898827740560468,0.27243420035865923,0.20646550502845812,-0.030988095637103086,"[0.4481285555022039, 0.4400896811735301, 0.02204865131155298]","[0.432365846775687, 0.4040302085511296, -0.01909345425083897]"
Q6PHR2,60,-0.29432264209796705,0.2717368716472377,-0.32525860451384087,0.27879387246746457,-0.03093596241587382,"[-0.47094859450359516, 0.08956409109545771, -0.5015834228857636]","[-0.49833062750727986, 0.06807309002099804, -0.5455182760552408]"
Q02779,66,0.12689004050276512,0.19788774995708128,0.09617365559575623,0.16784224697963385,-0.030716384907008884,"[0.25484327678319973, -0.15263313726816619, 0.27845998199326183]","[0.2163864783335525, -0.1411845194986885, 0.21331900795240466]"
P37238,118,0.3828587240282127,0.14096271341333536,0.35236109477172955,0.1374764828057358,-0.03049762925648314,"[0.4918719470483066, 0.1838086319859964, 0.47289559305033513]","[0.4372702387922104, 0.15843869471462113, 0.4613743508083572]"
P51450,74,0.2142337065497669,0.11143255241803907,0.18377572165884062,0.11519014662964354,-0.03045798489092627,"[0.2262437591822103, 0.3443082142731023, 0.07214914619398805]","[0.14390176699419466, 0.34049978034532324, 0.066925617637004]"
P11103,47,-0.29607709755199374,0.27005142806206245,-0.32629248525176296,0.3096667835908029,-0.030215387699769225,"[-0.6636744910629531, -0.02258014044269996, -0.2019766611503282]","[-0.755287775502566, -0.035554719479934604, -0.18803496077278825]"
P35991,45,0.4947840848131071,0.022122889262428485,0.46573509885642306,0.03076807002002599,-0.029048985956684037,"[0.46663815890090565, 0.5206887207229858, 0.49702537481542985]","[0.4222535669189562, 0.48605161610596326, 0.4889001135443496]"
P13500,49,0.3503605330811889,0.08437520792897117,0.32133434083577,0.07101674755458022,-0.029026192245418914,"[0.4264626079894973, 0.23271603348614434, 0.39190295776792494]","[0.3924748815323542, 0.22436915822355574, 0.3471589827514]"
Q9UIK4,58,0.12142967139562892,0.03244324365951882,0.09268898232793484,0.0474669653528031,-0.028740689067694086,"[0.0886234815061615, 0.1656115625242961, 0.11005397015642915]","[0.026562949314709594, 0.13576099569520728, 0.11574300197388765]"
Q8N884,125,-0.02697450389252165,0.07986790200132728,-0.05557710732216966,0.10254105667956731,-0.02860260342964801,"[-0.021755198056055525, 0.06812915748202475, -0.12729747110353418]","[-0.029796317133805372, 0.05511856314280017, -0.19205356797550377]"
P45974,45,0.10995720720649227,0.33498890445480345,0.08145438795088152,0.33461526364005084,-0.028502819255610753,"[0.418925444659477, 0.26648807259755203, -0.35554189563755223]","[0.39706100116220566, 0.2290121975082131, -0.3817100348177742]"
O15427,77,0.18568697287001845,0.2603350225169902,0.15719810774428666,0.28585144142152724,-0.028488865125731788,"[0.5045167424883263, 0.18571539907526613, -0.13317122295353712]","[0.4804809443099124, 0.20575356272725154, -0.21464018380430394]"
Q92772,31,0.0435182301927709,0.0962475629827385,0.01538384600975029,0.05404562329660755,-0.02813438418302061,"[-0.08089021746486602, 0.15354811328246187, 0.05789679476071685]","[-0.06084260796958563, 0.05834886458401367, 0.04864528141482283]"
P20288,76,0.2431513884006421,0.08405250421257308,0.2155761122948037,0.08536226013462933,-0.027575276105838403,"[0.3618982275408428, 0.17912755570207628, 0.18842838195900724]","[0.3337590820619648, 0.13516181273541394, 0.17780744208703236]"
P23316,31,0.17290113479359379,0.28605957257317066,0.14578662758145344,0.3385683025347515,-0.027114507212140343,"[-0.09588872257388026, 0.045458082994366156, 0.5691340439602954]","[-0.20959549211758222, 0.045592090520012674, 0.6013632843419299]"
Q9Y2K2,44,-0.05163400244183217,0.26132650167272115,-0.07849333887809824,0.24496695512663608,-0.02685933643626607,"[0.22254982019611635, -0.4033295816406579, 0.025877754119045027]","[0.1970344324247486, -0.3981268181582742, -0.03438763090076913]"
Q9BYT3,67,-0.3541999760677039,0.24061396859383502,-0.3810284058762829,0.2640645685454879,-0.02682842980857897,"[-0.6293962616722331, -0.04327302401603794, -0.3899306425148408]","[-0.6795682896298767, -0.03746333308271543, -0.4260535949162565]"
Q16853,76,0.15786566907897012,0.06946496469136168,0.13144113473883415,0.0726536932292732,-0.026424534340135974,"[0.11247728789981448, 0.10510793378318739, 0.25601178555390847]","[0.10878777673086615, 0.055975200358946986, 0.22956042712668934]"
P46092,32,0.3569550363112491,0.09617872361219704,0.33053100566731136,0.05390038593407121,-0.026424030643937724,"[0.2230810824742807, 0.44472092766496063, 0.4030630987945061]","[0.2543244393059688, 0.36711875649153103, 0.3701498212044343]"
Q92831,148,0.4267437936960265,0.21037265579222186,0.40037450645043854,0.21805950454280612,-0.026369287245587958,"[0.595563527592758, 0.554489305050655, 0.1301785484446666]","[0.5670282254797093, 0.5417581823640865, 0.09233711150751978]"
P53396,35,0.5654690346324914,0.18416543487579598,0.539193206091833,0.1696082289138675,-0.026275828540658464,"[0.5596251474516634, 0.7938898647865644, 0.3428920916592467]","[0.5046431873201542, 0.7620287883633934, 0.3509076425919514]"
P18405,30,0.5210018279020385,0.061965141727904544,0.4947774233633339,0.07033731464556377,-0.026224404538704615,"[0.5089848938634627, 0.6021848461755462, 0.45183574366710644]","[0.47441539773661323, 0.5892795348507873, 0.42063733750260124]"
Q13231,81,0.39153328182194147,0.04271378687025901,0.3653113690211011,0.05000547181180582,-0.026221912800840352,"[0.37316248793445705, 0.35088308072417784, 0.4505542768071895]","[0.33178302939132687, 0.32815236526529745, 0.435998712406679]"
Q3UHJ0,47,0.18946917524152654,0.3448590863756603,0.1633737604696008,0.4123069127747754,-0.02609541477192573,"[-0.27527593049233867, 0.5499068451626224, 0.29377661105429587]","[-0.4053999299147337, 0.5589714519301885, 0.33654975939334764]"
P23415,35,0.5742660390547788,0.058834675520252074,0.5482057359118577,0.05826503703719098,-0.02606030314292107,"[0.5185017297984001, 0.5486688993231019, 0.6556274880428347]","[0.4986182143472129, 0.516008005309722, 0.6299909880786383]"
A6YCJ1,31,0.4799815129368635,0.017012471964549032,0.4545298883813764,0.019912220911256894,-0.02545162455548705,"[0.45652026636151277, 0.48709545610081384, 0.49632881634826376]","[0.4363964686408721, 0.4822548170523089, 0.44493837945094816]"
Q9JLS3,56,-0.4947975570084946,0.35022797145863444,-0.5201435844530887,0.38740958825359306,-0.025346027444594132,"[-0.9211004080579934, -0.5000239173923551, -0.06326834557513528]","[-0.9964763446109686, -0.5164118643681643, -0.04754254438013339]"
P42224,51,-0.18835456138366702,0.08685330123546237,-0.21304137152038338,0.08217187085873219,-0.024686810136716364,"[-0.20416615119138304, -0.28593686592264356, -0.07496066703697446]","[-0.22215504834992816, -0.3088141409570384, -0.10815492525418358]"
P38919,47,0.32938862703635086,0.3010681885055465,0.3047833788189443,0.3225288581300613,-0.02460524821740656,"[0.6780207592635489, 0.3667440244672151, -0.05659890262171152]","[0.6735577595368678, 0.35286422622992186, -0.11207184930995662]"
Q9EPX4,97,0.1522653112053759,0.093420125318088,0.12773617790859568,0.0649179522946718,-0.02452913329678022,"[0.06771877898370537, 0.2824583853155376, 0.10661876931688474]","[0.10504770114538708, 0.2161221943189029, 0.062038638261497026]"
Q5U9J1,30,0.10285877793979407,0.06848993928015455,0.07850361653141047,0.11158042656717997,-0.024355161408383605,"[0.03344208035698326, 0.19606754763926926, 0.07906670582312969]","[0.1146853014736331, 0.19342950851663387, -0.07260396039603556]"
O15357,40,0.01855070076975185,0.29258277569200153,-0.005803571432420052,0.29835955331131314,-0.0243542722021719,"[-0.24924337886974235, -0.12072211340244743, 0.4256175945814453]","[-0.23443047063415712, -0.19861377819692905, 0.415633534533826]"
Q63470,96,0.3150273045489758,0.15109003974399282,0.2907337114521961,0.1706244903685803,-0.024293593096779698,"[0.3847039720571166, 0.4551208765996556, 0.10525706499015519]","[0.3985244113185493, 0.4238007877897757, 0.04987593524826328]"
P16118,33,-0.06904602676644926,0.38925503663722555,-0.09328715819780886,0.4104543390269237,-0.0242411314313596,"[-0.043914381495140375, -0.5578528867200143, 0.3946291879158069]","[-0.07582778866174444, -0.6044912447522361, 0.400457558820554]"
Q9UL62,50,0.5440311018221973,0.1590748396393273,0.5199528823079763,0.173729788254737,-0.024078219514220955,"[0.554956496614922, 0.7331646112770576, 0.34397219757461206]","[0.4994371071257595, 0.742242338815268, 0.3181792009829014]"
O95470,35,0.34020175942834124,0.02574284668040602,0.31626347833850177,0.04387496036866594,-0.023938281089839475,"[0.36432056627690157, 0.3517591635776456, 0.30452554843047663]","[0.32484806793824916, 0.3651900414470889, 0.25875232563016726]"
Q96P65,40,0.05851326577827173,0.04544410671233236,0.03459073696080128,0.067188466806357,-0.023922528817470444,"[-0.005037730824747566, 0.09857751400935755, 0.08200001415020519]","[-0.059240333150831326, 0.0685358125427663, 0.09447673149046887]"
Q8IWQ3,51,0.01988921742870779,0.2268135847060399,-0.0040070755456952005,0.25443909853929414,-0.02389629297440299,"[-0.28386537955732316, 0.2610215545368981, 0.0825114773065484]","[-0.34959198724151563, 0.2556023366205342, 0.08196842398389581]"
Q969H4,35,0.14721041028619475,0.05710966866150709,0.12343133351772557,0.04903119438635298,-0.023779076768469173,"[0.20322318336483824, 0.16959448237716312, 0.06881356511658288]","[0.1640389262759917, 0.15180355374032983, 0.0544515205368552]"
Q9Y2I7,31,0.14956976596810534,0.13002969811199047,0.1259097703960477,0.11011477141397,-0.02365999557205764,"[0.1585077152184735, -0.013964190296789303, 0.3041657729826318]","[0.1063570821327603, 0.0018908843750984339, 0.2694813446802844]"
O14578,74,-0.35147401393377153,0.20933011127186552,-0.3750745160500722,0.2175601236875416,-0.02360050211630066,"[-0.641592336413841, -0.25742624797606806, -0.1554034574114056]","[-0.6781716768104584, -0.2693265304547947, -0.1777253408849635]"
Q00536,80,0.07724841963874333,0.13464443291499137,0.0537896006828061,0.1085071917697136,-0.02345881895593723,"[0.26136521422318015, -0.05687468300681897, 0.027254727699868808]","[0.19559624653199237, -0.06789632155864656, 0.03366887707507249]"
Q9H9B1,83,-0.06834334127267587,0.2541961582998957,-0.091486074018917,0.24756692062530486,-0.023142732746241124,"[0.19379791272877644, 0.013623593096765751, -0.4124515296435698]","[0.18248584318790673, -0.039690116861424984, -0.4172539483832327]"
Q9Y5S2,54,-0.672168109097679,0.6557070274597135,-0.6951880655507954,0.6737429502495584,-0.023019956453116386,"[-0.26759891116544887, -0.15183913093322676, -1.5970662851943613]","[-0.24053512623749929, -0.197350848101695, -1.6476782223131918]"
Q29550,32,0.4650915504911571,0.2960409087976768,0.4420754323988422,0.32545912516985664,-0.023016118092314852,"[0.33006612233761645, 0.8758045411362838, 0.18940398799957092]","[0.3372552291078522, 0.8826156758408992, 0.10635539224777535]"
P12821,87,0.46417624530316504,0.04716258871641137,0.4412313044186185,0.06199666890773361,-0.022944940884546516,"[0.5144261047917135, 0.40106870930700345, 0.4770339218107783]","[0.49308200504279687, 0.35407680200502556, 0.4765351062080332]"
P19838,38,-0.17408395310583002,0.3535091799505755,-0.1968607722235943,0.4094289384931806,-0.022776819117764274,"[0.02259273182957322, 0.1256252162464867, -0.67046980739355]","[0.055528673535690576, 0.1282456895456292, -0.7743566797521027]"
Q9UF33,60,-0.05173770962824912,0.16307433855214495,-0.07442273417997365,0.17009420138944373,-0.022685024551724532,"[0.07296084956822924, 0.05392361115953248, -0.2820975896125091]","[0.09552280008870817, -0.01196096480380704, -0.3068300378248221]"
Q05209,69,-0.01577624388644901,0.21461853080521454,-0.03834824397463658,0.23298672675200635,-0.022572000088187567,"[0.2544089029470694, -0.031112145378860756, -0.2706254892275557]","[0.22705994673086527, -0.001957420735062332, -0.3401472579197127]"
Q28156,81,0.580216505610652,0.06684736166715952,0.557775014927867,0.07122479779893509,-0.022441490682785004,"[0.6557508800777216, 0.5916811510485851, 0.4932174857056493]","[0.6491952748370233, 0.5486874161645584, 0.47544235378201927]"
P29452,82,0.035876195579496506,0.07983588986385864,0.013445200398718068,0.0864437778806965,-0.022430995180778436,"[0.004152929551929585, 0.14557747778241226, -0.042101820595852324]","[0.006603415190924999, 0.12257173420878964, -0.08883954820356044]"
P20701,61,0.3875573576589139,0.15276726122075543,0.36513359999847034,0.1735607027357354,-0.022423757660443577,"[0.33783823722407236, 0.5944959143276691, 0.2303379214250001]","[0.25341220605784287, 0.6102658582323712, 0.23172273570519697]"
P35396,46,0.3295622209257597,0.14695636416968277,0.30718780871006773,0.17198588739839143,-0.022374412215691974,"[0.2007328900082439, 0.5352090076475913, 0.25274476512144395]","[0.20199546380665867, 0.5497040857494908, 0.16986387657405377]"
Q9H5J4,53,-0.0442236582781094,0.2882226760428143,-0.0663397783497361,0.30401632667694845,-0.0221161200716267,"[-0.019676425128086317, -0.4088558159535609, 0.295861266247319]","[-0.10239328184585728, -0.4193440212550319, 0.32271796805168085]"
Q04609,128,0.5440119846786466,0.0970833258020577,0.5220537788387188,0.10337047722585306,-0.021958205839927802,"[0.44766753339423704, 0.5074725331257195, 0.6768958875159834]","[0.4340028755429053, 0.4650175554339906, 0.6671409055392605]"
P0A0J7,43,0.48166311290026576,0.1768052137725679,0.45973500740329903,0.19635708826283188,-0.02192810549696672,"[0.5087432296904368, 0.683390622619186, 0.2528554863911743]","[0.5076455308354049, 0.672660718909944, 0.19889877246454812]"
P32249,90,0.3263885792193196,0.1362112172617264,0.30464077992571714,0.14503180488233755,-0.021747799293602432,"[0.4332507674569097, 0.13415691555671017, 0.4117580546443389]","[0.3753121821870845, 0.10255526224955225, 0.43605489534051467]"
O60603,105,0.41816192365427135,0.13841345319256168,0.39652720379229517,0.13927421866073916,-0.02163471986197618,"[0.2601295239601503, 0.5972118504249169, 0.3971443965777469]","[0.24296376521015428, 0.5801249552295789, 0.36649289093715254]"
Q9UBY5,58,0.6018972239136088,0.08657453306801663,0.5803508045668679,0.10464313074820854,-0.02154641934674084,"[0.665641422393666, 0.6605526483004803, 0.47949760104668004]","[0.6749990563036368, 0.6315485470910384, 0.43450481030592847]"
Q16658,52,0.30405032740127913,0.1428282174541017,0.28253636392476594,0.18533472066878276,-0.021513963476513187,"[0.33654240459503093, 0.11515421425648797, 0.4604543633523185]","[0.2850002127540452, 0.05432672008644934, 0.5082821589338034]"
P33072,30,-0.27587547503918325,0.1323365081897015,-0.29736920640639136,0.1590646486913046,-0.021493731367208113,"[-0.08872363138686046, -0.36971151783101597, -0.3691912758996734]","[-0.07658932481751801, -0.3704157862228106, -0.44510250817884556]"
P35439,72,0.3240147838425657,0.18282250022154206,0.3025592785611429,0.197968025205977,-0.021455505281422815,"[0.1481248994924682, 0.24784646842284974, 0.5760729836123792]","[0.09793147829316429, 0.2393962738895138, 0.5703500835007507]"
