molecule_chembl_id
CHEMBL152968
CHEMBL292759
CHEMBL153741
CHEMBL150614
CHEMBL542139
CHEMBL154751
CHEMBL168471
CHEMBL276140
CHEMBL297784
CHEMBL14563
CHEMBL112532
CHEMBL151646
CHEMBL422858
CHEMBL434317
CHEMBL150681
CHEMBL151449
CHEMBL345544
CHEMBL359116
CHEMBL347303
CHEMBL151280
CHEMBL150799
CHEMBL358214
CHEMBL151037
CHEMBL348263
CHEMBL150146
CHEMBL151354
CHEMBL347302
CHEMBL358216
CHEMBL433737
CHEMBL151096
CHEMBL150278
CHEMBL151974
CHEMBL149750
CHEMBL81948
CHEMBL358880
CHEMBL267865
CHEMBL356594
CHEMBL150653
CHEMBL151170
CHEMBL150999
CHEMBL151038
CHEMBL151207
CHEMBL273921
CHEMBL113060
CHEMBL10
CHEMBL113419
CHEMBL10921
CHEMBL323734
CHEMBL111456
CHEMBL323479
CHEMBL111364
CHEMBL111210
CHEMBL432798
CHEMBL324977
CHEMBL314445
CHEMBL314132
CHEMBL315422
CHEMBL312149
CHEMBL85106
CHEMBL85960
CHEMBL486598
CHEMBL81923
CHEMBL85740
CHEMBL86022
CHEMBL413956
CHEMBL85826
CHEMBL312848
CHEMBL85139
CHEMBL312248
CHEMBL86078
CHEMBL262968
CHEMBL114555
CHEMBL113018
CHEMBL325429
CHEMBL113227
CHEMBL114297
CHEMBL115876
CHEMBL113275
CHEMBL112592
CHEMBL320105
CHEMBL14255
CHEMBL14374
CHEMBL14726
CHEMBL14606
CHEMBL14401
CHEMBL14863
CHEMBL274066
CHEMBL14841
CHEMBL280322
CHEMBL280465
CHEMBL14652
CHEMBL416896
CHEMBL274692
CHEMBL277111
CHEMBL14548
CHEMBL273345
CHEMBL277732
CHEMBL428879
CHEMBL14469
CHEMBL14460
CHEMBL14458
CHEMBL278267
CHEMBL14345
CHEMBL280297
CHEMBL14864
CHEMBL14362
CHEMBL273760
CHEMBL278685
CHEMBL14111
CHEMBL14276
CHEMBL14076
CHEMBL14462
CHEMBL446942
CHEMBL14368
CHEMBL276571
CHEMBL14352
CHEMBL417082
CHEMBL46909
CHEMBL43396
CHEMBL43395
CHEMBL43740
CHEMBL441035
CHEMBL296411
CHEMBL44509
CHEMBL43013
CHEMBL42428
CHEMBL43741
CHEMBL44156
CHEMBL42427
CHEMBL43065
CHEMBL355905
CHEMBL421841
CHEMBL164261
CHEMBL323337
CHEMBL162383
CHEMBL317935
