protein,n_samples,n_active,n_inactive,fold,accuracy,precision,recall,f1_score,n_train,n_test,n_train_active,n_train_inactive,n_test_active,n_test_inactive
MAOB,1795,731,1064,5.0,0.8245125348189415,0.8333333333333334,0.7142857142857143,0.7692307692307693,1436.0,359.0,584.0,852.0,147.0,212.0
ALDH1A1,150,67,83,1.0,0.7,0.5882352941176471,0.8333333333333334,0.6896551724137931,120.0,30.0,55.0,65.0,12.0,18.0
ALDH1A1,150,67,83,2.0,0.8,0.7333333333333333,0.8461538461538461,0.7857142857142857,120.0,30.0,54.0,66.0,13.0,17.0
ALDH1A1,150,67,83,3.0,0.7333333333333333,0.8461538461538461,0.6470588235294118,0.7333333333333333,120.0,30.0,50.0,70.0,17.0,13.0
ALDH1A1,150,67,83,4.0,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,120.0,30.0,55.0,65.0,12.0,18.0
ALDH1A1,150,67,83,5.0,0.7,0.7,0.5384615384615384,0.6086956521739131,120.0,30.0,54.0,66.0,13.0,17.0
ADH1A,0,0,0,,,,,,,,,,,
HSD11B1,2712,2037,675,1.0,0.8084714548802947,0.8820638820638821,0.8650602409638555,0.8734793187347932,2169.0,543.0,1622.0,547.0,415.0,128.0
HSD11B1,2712,2037,675,2.0,0.8176795580110497,0.8584686774941995,0.9068627450980392,0.8820023837902264,2169.0,543.0,1629.0,540.0,408.0,135.0
HSD11B1,2712,2037,675,3.0,0.8228782287822878,0.8456221198156681,0.9267676767676768,0.8843373493975903,2170.0,542.0,1641.0,529.0,396.0,146.0
HSD11B1,2712,2037,675,4.0,0.8191881918819188,0.8605200945626478,0.9032258064516129,0.8813559322033898,2170.0,542.0,1634.0,536.0,403.0,139.0
HSD11B1,2712,2037,675,5.0,0.8302583025830258,0.8695652173913043,0.9156626506024096,0.892018779342723,2170.0,542.0,1622.0,548.0,415.0,127.0
AKR7A3,0,0,0,,,,,,,,,,,
FMO1,0,0,0,,,,,,,,,,,
AHR,29,25,4,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,23.0,6.0,21.0,2.0,4.0,2.0
AHR,29,25,4,2.0,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,23.0,6.0,20.0,3.0,5.0,1.0
AHR,29,25,4,3.0,1.0,1.0,1.0,1.0,23.0,6.0,19.0,4.0,6.0,0.0
AHR,29,25,4,4.0,1.0,1.0,1.0,1.0,23.0,6.0,19.0,4.0,6.0,0.0
AHR,29,25,4,5.0,0.8,0.8,1.0,0.8888888888888888,24.0,5.0,21.0,3.0,4.0,1.0
NR1I3,59,26,33,1.0,0.6666666666666666,1.0,0.3333333333333333,0.5,47.0,12.0,20.0,27.0,6.0,6.0
NR1I3,59,26,33,2.0,0.8333333333333334,1.0,0.6666666666666666,0.8,47.0,12.0,20.0,27.0,6.0,6.0
NR1I3,59,26,33,3.0,0.8333333333333334,0.75,0.75,0.75,47.0,12.0,22.0,25.0,4.0,8.0
NR1I3,59,26,33,4.0,0.8333333333333334,1.0,0.6666666666666666,0.8,47.0,12.0,20.0,27.0,6.0,6.0
NR1I3,59,26,33,5.0,0.9090909090909091,1.0,0.75,0.8571428571428571,48.0,11.0,22.0,26.0,4.0,7.0
NR1I2,344,89,255,1.0,0.782608695652174,0.6428571428571429,0.47368421052631576,0.5454545454545454,275.0,69.0,70.0,205.0,19.0,50.0
NR1I2,344,89,255,2.0,0.8260869565217391,0.6666666666666666,0.7368421052631579,0.7,275.0,69.0,70.0,205.0,19.0,50.0
NR1I2,344,89,255,3.0,0.7681159420289855,0.5909090909090909,0.65,0.6190476190476191,275.0,69.0,69.0,206.0,20.0,49.0
NR1I2,344,89,255,4.0,0.855072463768116,0.7222222222222222,0.7222222222222222,0.7222222222222222,275.0,69.0,71.0,204.0,18.0,51.0
NR1I2,344,89,255,5.0,0.7794117647058824,0.4375,0.5384615384615384,0.4827586206896552,276.0,68.0,76.0,200.0,13.0,55.0
SULT1A1,6,5,1,,,,,,,,,,,
GSTA1,6,3,3,,,,,,,,,,,
OXA1L,0,0,0,,,,,,,,,,,
ORM1,0,0,0,,,,,,,,,,,
KCNH2,4492,735,3757,1.0,0.8976640711902113,0.7653061224489796,0.5208333333333334,0.6198347107438017,3593.0,899.0,591.0,3002.0,144.0,755.0
KCNH2,4492,735,3757,2.0,0.8843159065628476,0.7157894736842105,0.4689655172413793,0.5666666666666667,3593.0,899.0,590.0,3003.0,145.0,754.0
KCNH2,4492,735,3757,3.0,0.888641425389755,0.7222222222222222,0.527027027027027,0.609375,3594.0,898.0,587.0,3007.0,148.0,750.0
KCNH2,4492,735,3757,4.0,0.9042316258351893,0.8080808080808081,0.54421768707483,0.6504065040650406,3594.0,898.0,588.0,3006.0,147.0,751.0
KCNH2,4492,735,3757,5.0,0.8930957683741648,0.7835051546391752,0.5033112582781457,0.6129032258064516,3594.0,898.0,584.0,3010.0,151.0,747.0
SCN5A,329,26,303,1.0,0.9242424242424242,0.3333333333333333,0.25,0.2857142857142857,263.0,66.0,22.0,241.0,4.0,62.0
SCN5A,329,26,303,2.0,0.9090909090909091,0.0,0.0,0.0,263.0,66.0,21.0,242.0,5.0,61.0
SCN5A,329,26,303,3.0,0.9090909090909091,0.0,0.0,0.0,263.0,66.0,20.0,243.0,6.0,60.0
SCN5A,329,26,303,4.0,0.9545454545454546,0.5,0.3333333333333333,0.4,263.0,66.0,23.0,240.0,3.0,63.0
