feature,importance
morgan_1126,0.2567913988464942
LogS,0.057663183812498686
morgan_2017,0.056183242221164345
Molecular_Weight,0.04564576987251259
Molecular_Surface_Area,0.04075454099213949
morgan_1420,0.02781201344020121
ALogP,0.026128812090632152
morgan_1236,0.024697518277444725
Num_Rings,0.015673925081795166
morgan_624,0.014693194458187064
morgan_1347,0.014532224861679283
Num_Rotatable_Bonds,0.014018339788638227
morgan_675,0.013631029109604882
Molecular_Polar_Surface_Area,0.012245238355522438
morgan_699,0.011854174875056193
Num_Atoms,0.011179715555339068
Num_Heavy_Atoms,0.010739883338954228
morgan_451,0.009502392922545325
morgan_1855,0.0092641457222197
morgan_1599,0.009044638803753136
morgan_1132,0.008611335530785974
morgan_1325,0.008365874014662706
morgan_1145,0.007266330210349968
morgan_1836,0.00704912581130644
morgan_1911,0.0063856576982444496
Num_H_Acceptors,0.006361894646209958
morgan_632,0.006021173781166417
morgan_1019,0.005853967881914
Num_Saturated_Rings,0.0053422513000117395
morgan_1453,0.0047901665638372835
morgan_1647,0.004377949402193064
morgan_1793,0.004208662619525663
morgan_1295,0.0042046191251016475
morgan_456,0.004173267468127957
morgan_523,0.004148849940941179
Num_H_Donors,0.003927541484724842
morgan_1480,0.0038850675121061004
morgan_1417,0.0038142545683975742
morgan_745,0.003546356016754093
morgan_1196,0.00346766910031312
morgan_1965,0.0033156386802917393
morgan_1028,0.0032742672893187248
morgan_1745,0.0032699355959604015
morgan_844,0.003190007013852908
morgan_935,0.002899294278431095
morgan_795,0.002825639403306554
Num_Aromatic_Rings,0.0028245270883634635
morgan_1410,0.002745738638715477
morgan_1670,0.002671811010557514
morgan_1738,0.0023871587579567493
morgan_2,0.0022223798214078606
morgan_1224,0.002196054362901724
morgan_689,0.002173508181301771
morgan_739,0.0020290089794938932
morgan_653,0.002020789260892178
morgan_1754,0.0019249902394658657
morgan_119,0.0018602689881273623
morgan_80,0.0018558927480207623
morgan_1186,0.0018329085117211666
morgan_880,0.0018187567795344111
morgan_1908,0.0018039410293753026
morgan_294,0.0017898516834032982
morgan_881,0.0017410123435517195
morgan_378,0.001711656050495925
morgan_1063,0.001695336810119774
morgan_741,0.0016618690446448924
morgan_162,0.0016611149312267541
morgan_389,0.0016519795778819088
morgan_359,0.001632845779333791
morgan_1312,0.00158458706359275
morgan_14,0.0015729597885482379
morgan_625,0.0015486993185684272
morgan_1853,0.0015326611624287537
morgan_1357,0.001473346957667473
morgan_695,0.001405730838020457
morgan_310,0.0013713903900944252
morgan_1057,0.00137092485264618
morgan_114,0.001359165441714931
morgan_1668,0.001344501942780377
morgan_650,0.0013152745943323543
Formal_Charge,0.0013102514899261616
morgan_352,0.0012402297365316586
morgan_931,0.001233870966795085
morgan_1243,0.0012192462864019575
morgan_1503,0.0012149109795322945
morgan_984,0.0012110272082874458
morgan_1060,0.0012053733872327184
morgan_488,0.0011602260449158131
morgan_1292,0.0011186473076458838
morgan_1449,0.001057667167678845
morgan_641,0.001054364435469636
morgan_628,0.0010260840287383128
morgan_807,0.0010180630652800195
morgan_528,0.0010018240329617274
morgan_356,0.0009853506846499488
morgan_1958,0.000983513192329333
morgan_1066,0.0009798640109212556
morgan_1694,0.0009796456666299647
morgan_1508,0.000967592056618093
morgan_534,0.000892118483493984
morgan_1314,0.0008787820937909014
morgan_1910,0.0008698617414489457
morgan_1567,0.000853066816807818
morgan_270,0.0008274011485290912
morgan_13,0.0008259652778529569
morgan_1365,0.0008141437292219884
morgan_1536,0.0008127210248840377
morgan_556,0.0008094297732829385
morgan_1,0.000806155409874282
morgan_1171,0.0008014386875277025
morgan_1876,0.0007787741386833743
morgan_486,0.0007715969710232022
morgan_656,0.0007513777883333774
morgan_1143,0.0007495949917425776
morgan_1791,0.0007437969018628893
morgan_1951,0.0007388642031868726
morgan_207,0.0007345178985863308
morgan_809,0.0007222238081035467
morgan_1466,0.0007212644096093841
morgan_314,0.000714747681333725
morgan_76,0.0007139196311410416
morgan_947,0.0006953659752313343
morgan_1507,0.0006946825272068542
morgan_1160,0.0006891457579862413
morgan_1707,0.000677146509462546
morgan_387,0.0006575588432435761
morgan_216,0.0006536553684412903
morgan_227,0.0006465208494073438
morgan_288,0.0006457585156354581
morgan_1013,0.0006306027309263571
morgan_74,0.0006203446317164692
morgan_1402,0.0006122745194675897
morgan_29,0.0006107058465400549
morgan_1537,0.0006091670929135607
morgan_729,0.0006046781081825774
morgan_414,0.0005984688054713844
morgan_736,0.0005873648629138206
morgan_1050,0.0005761515707974814
morgan_214,0.0005618429454345479
morgan_1293,0.0005571835211829143
morgan_1131,0.0005531040834739125
morgan_426,0.000546832146826814
morgan_191,0.0005451875475633725
morgan_1199,0.000544916739704493
morgan_1697,0.0005305298888335275
morgan_1017,0.0005239846645144878
morgan_1809,0.0005225452631214049
morgan_1088,0.0005171303952918738
morgan_115,0.0005119027414582194
morgan_1573,0.000509433352741114
morgan_117,0.0005081268219516307
morgan_1699,0.0005043927467048198
morgan_446,0.0005009679331906551
morgan_1096,0.0004933973221745584
morgan_890,0.0004926767143614557
morgan_1114,0.000490076936473994
morgan_1152,0.0004855033428437745
morgan_296,0.00047845668989594385
morgan_197,0.0004768925112975631
morgan_1689,0.000476778514301669
morgan_1917,0.0004756059529803399
morgan_1816,0.0004753980424784947
morgan_222,0.00046931686303491556
morgan_875,0.0004670820258034396
morgan_552,0.0004666762057580001
morgan_8,0.0004551310296049242
morgan_1696,0.00045387762295152244
morgan_667,0.00044182425143598824
morgan_273,0.000438949438320925
morgan_1179,0.0004385603571277994
morgan_1640,0.00043847626026576053
morgan_390,0.00043480409655275793
morgan_610,0.0004288145396229155
morgan_30,0.0004272748737955835
morgan_463,0.00042608231565324317
morgan_1039,0.0004202330167910974
morgan_1482,0.00041651688182369866
morgan_1452,0.00041597162537657773
morgan_90,0.0004122773562271474
morgan_602,0.000407338993106756
morgan_1750,0.00040471805943156143
morgan_831,0.00040342102768432364
morgan_908,0.0004028535057570201
morgan_1169,0.000398904222275916
morgan_1133,0.0003922324336582248
morgan_1070,0.0003913587291993224
morgan_562,0.00039015849576224906
morgan_1970,0.00038587280714809066
morgan_585,0.0003840820082628162
morgan_1459,0.0003788557129279311
morgan_2000,0.00037695500120702336
morgan_305,0.000375051627769584
morgan_725,0.00037495414328135037
morgan_674,0.00037361971341907544
morgan_1279,0.0003716378867796132
morgan_982,0.000370636916005391
morgan_1992,0.0003632414151326601
morgan_609,0.0003623202661132555
morgan_893,0.0003622305085871543
morgan_975,0.0003617602353643837
morgan_1391,0.0003602118090632916
morgan_1928,0.0003585826885017385
morgan_319,0.00035505633502627427
morgan_242,0.000351523951037769
morgan_784,0.0003451080874795657
morgan_1651,0.0003429792904870003
morgan_684,0.0003352422250098005
morgan_1765,0.00033511180191679514
morgan_991,0.0003347787680828334
morgan_1045,0.00033472287103258024
morgan_1542,0.00033347781018056667
morgan_1049,0.0003323986788651017
morgan_703,0.00033145513392489817
morgan_394,0.00032993554433865483
morgan_419,0.00032237570679590144
morgan_401,0.00031478711887542715
morgan_1688,0.00031215405998971326
morgan_1934,0.0003117958963509631
morgan_1786,0.0003090953513570742
morgan_1385,0.0003065662064296947
morgan_35,0.0003044001536342795
morgan_1313,0.00029834501458389615
morgan_798,0.00029774558506596896
morgan_1758,0.00029768532270007294
morgan_1447,0.00029712056076024667
morgan_1866,0.00029670702993165595
morgan_237,0.0002955214833117961
morgan_1467,0.0002939910666969822
morgan_1434,0.0002934360373454059
morgan_210,0.0002919908633551788
morgan_1984,0.00028192734744931196
morgan_140,0.00028181926282154187
morgan_322,0.00028052155061250025
morgan_1456,0.00027948854967234615
morgan_2009,0.0002792096693267844
morgan_561,0.0002785452301105583
morgan_1522,0.0002772429250807659
morgan_1260,0.00027288247933498626
morgan_255,0.00027222528215090156
morgan_1604,0.00027109078759406525
morgan_832,0.00026888119329882205
morgan_1565,0.00026694793941005573
morgan_1009,0.0002645845560449147
morgan_1167,0.0002643553487429296
morgan_1384,0.000259015732540242
morgan_903,0.0002581634169837226
morgan_1658,0.00025250873579889005
morgan_102,0.00024963493708848373
morgan_718,0.00024757200021608143
morgan_1840,0.0002466268478330014
morgan_1393,0.00024368863799208116
morgan_1249,0.00024303454638558756
morgan_177,0.0002416320451368446
morgan_428,0.00024052422242354195
morgan_608,0.00024003763176142157
morgan_794,0.00023762376903994692
morgan_407,0.000233182525476158
morgan_1534,0.00023214627491580897
morgan_785,0.0002311390955181928
morgan_141,0.00023097993074134188
morgan_1343,0.00022966257233012247
morgan_1147,0.00022964312996560127
morgan_1710,0.00022936394103766295
morgan_1722,0.00022680951466922202
morgan_104,0.00022616034467380232
morgan_1921,0.00022550749705365814
morgan_1657,0.00022469906510023702
morgan_1027,0.00022419417738154079
morgan_423,0.00022367715413052896
morgan_1832,0.0002232980389818633
morgan_283,0.0002219198418524725
morgan_1362,0.00022101399133724002
morgan_55,0.0002202449610153578
morgan_34,0.0002198229217325423
morgan_1607,0.00021821282857984622
morgan_591,0.00021656541817822975
morgan_1985,0.00021576475020581266
morgan_1524,0.00021101337747922024
morgan_1990,0.00021074734943343044
morgan_1783,0.00020874907049217226
morgan_1043,0.00020758135515573366
morgan_1875,0.00020712441621454053
morgan_467,0.00020705083224980135
morgan_577,0.00020559062388440737
morgan_1065,0.00020504439879323816
morgan_1730,0.0002045074640892683
morgan_790,0.0002034715672374062
morgan_1923,0.00020222126609483008
morgan_926,0.00020166104367663518
morgan_1641,0.00020019657545403697
morgan_841,0.00019874515591931225
morgan_1051,0.00019863482336779508
morgan_1261,0.00019547261220697172
morgan_773,0.00019355826903962137
morgan_1158,0.00019201068934434178
morgan_147,0.00019149969415667526
morgan_1771,0.00019098165328701306
morgan_1440,0.00019068497149381388
morgan_896,0.00018997426095869837
morgan_993,0.00018830009173194945
morgan_145,0.00018752808652940537
morgan_915,0.0001873395935380307
morgan_249,0.0001869690286502103
morgan_1004,0.00018536734450439563
morgan_1617,0.00018437200435836727
morgan_1405,0.0001818945619897793
morgan_1487,0.00017968861908609725
morgan_849,0.00017926670093612615
morgan_772,0.00017869749956365692
morgan_1476,0.0001786801472328028
morgan_1285,0.00017825547633995215
morgan_84,0.00017818450798253292
morgan_1270,0.00017795270061876683
morgan_1318,0.00017761538811534336
morgan_1123,0.00017494428216822028
morgan_802,0.00017323714540030063
morgan_1457,0.00017225134551233204
morgan_691,0.00017182325873031613
morgan_224,0.00017162913035863366
morgan_1633,0.0001715552919624065
morgan_338,0.00017065851280671028
morgan_1473,0.00017001290867069463
morgan_1308,0.00016929363037869528
morgan_1982,0.0001688212405454081
morgan_1665,0.00016868048199226223
morgan_440,0.00016801909706115845
morgan_1729,0.0001676314928925749
morgan_474,0.00016737298489250232
morgan_241,0.00016562698709661873
morgan_226,0.0001648997928693129
morgan_491,0.00016488151670278567
morgan_692,0.00016435703911226978
morgan_2042,0.00016417186722583955
morgan_843,0.00016256659736614678
morgan_800,0.00016249589675504917
morgan_1546,0.00016221012810983115
morgan_1978,0.00016077331710666128
morgan_939,0.00015999658704216437
morgan_180,0.00015837662348784173
morgan_575,0.00015732466688677662
morgan_816,0.00015724822870285326
morgan_517,0.00015500438392730402
morgan_323,0.0001547884924409446
morgan_365,0.0001545066303047517
