fold,r2,q2,rmse,mae
1,0.23405806077031,0.23405806077031066,0.6444261960402113,0.5471285714285707
2,-0.4978188853774639,-0.497818885377463,0.9278192057569358,0.6534142857142865
3,-0.029788435360431187,-0.02978843536043163,0.36076092548548616,0.2978214285714302
4,-0.7673409979466144,-0.7673409979466144,0.4234518533237669,0.416225
5,0.1800962798972059,0.18009627989720534,0.5511226542249894,0.45743333333333175
