fold,r2,q2,rmse,mae
1,0.568302001097694,0.568302001097694,0.6284619763013239,0.4952409090909097
2,0.48578934269077356,0.48578934269077323,0.6683832552767488,0.5036247474747482
3,0.48560719064062885,0.48560719064062896,0.722205045621308,0.5647414141414143
4,0.3881846601919754,0.38818466019197606,0.6928980396738318,0.49809797979797976
5,0.5458003306274997,0.5458003306274994,0.8243545763745985,0.5941892307692307
