fold,r2,q2,rmse,mae
1,0.6463322319462634,0.6463322319462633,0.5431954707642656,0.4019439128709013
2,0.6221845155948311,0.6221845155948311,0.6226165576758783,0.44901974803777367
3,0.6239784159063486,0.6239784159063484,0.593199731368772,0.4222180946432312
4,0.6041770413739211,0.6041770413739214,0.5826514076516578,0.4331080147410744
5,0.5928786691144379,0.5928786691144377,0.5699440067983247,0.41491461248507744
