fold,r2,q2,rmse,mae
1,0.5121616384825822,0.5121616384825822,0.8736124567998811,0.6830027777777757
2,0.6214577387509737,0.6214577387509739,0.6405113865830889,0.4149277777777773
3,0.18318352668640803,0.18318352668640925,0.7913225395629583,0.5836583333333342
4,0.78753758505482,0.7875375850548196,0.39311036992149523,0.3228986111111112
5,0.04901203878457461,0.04901203878457294,0.8584107944600031,0.7770075757575757
