feature,importance
morgan_905,0.024423030926981452
LogS,0.020151741990938925
morgan_1603,0.017749906046684118
morgan_1860,0.01766932611181562
Num_Rotatable_Bonds,0.01708085196828941
Num_Heavy_Atoms,0.015812083747459224
morgan_147,0.015323234886387043
morgan_583,0.015218569906293979
morgan_837,0.014730272249746547
morgan_961,0.014573720341442695
morgan_656,0.014179502223889138
morgan_1758,0.01403404357119872
morgan_808,0.01328403143229802
Molecular_Surface_Area,0.013092300282991355
Num_Atoms,0.013087976207613886
morgan_710,0.012752475707590074
morgan_1262,0.012725916020002628
morgan_208,0.012262657840531795
morgan_856,0.011511115710826027
morgan_79,0.010900944103855705
morgan_677,0.010873046320266285
ALogP,0.010348713069800038
morgan_1399,0.01024629038432693
morgan_745,0.009885223534798697
morgan_117,0.009852931602218321
Molecular_Polar_Surface_Area,0.008981011675762153
morgan_1567,0.008215652492666023
morgan_212,0.007994334054529026
morgan_881,0.007891485019533677
morgan_1984,0.007879824539462324
morgan_1535,0.007665279406577686
morgan_675,0.0076593796639440595
morgan_1200,0.007645046439596125
Num_H_Acceptors,0.007261446744644184
morgan_1697,0.007257899809544676
Molecular_Weight,0.00694498669359323
morgan_947,0.006276738670526058
morgan_1221,0.004943651523684553
morgan_911,0.004864297174161101
morgan_419,0.004674742999158963
morgan_1929,0.004599925080188027
morgan_6,0.004417940224631336
morgan_1771,0.004413200606542416
morgan_407,0.00437499081989022
morgan_842,0.004371365060401029
Num_H_Donors,0.004339985770271392
morgan_794,0.004314925520766209
morgan_1619,0.004313209616931206
morgan_1881,0.004286854632470259
morgan_1357,0.00410523413855545
morgan_888,0.004060738829259043
morgan_1097,0.003985343079828058
morgan_227,0.0039013572494424
morgan_1451,0.0038774535815179955
morgan_1808,0.003816155739080245
morgan_749,0.0037378582072239265
morgan_1682,0.0036788342446250778
morgan_378,0.003619525240023876
morgan_695,0.0035342925560925055
morgan_554,0.0034272280352454585
morgan_1350,0.0034082215710530116
morgan_1847,0.0033228888740795496
morgan_249,0.0032381626839480433
morgan_1035,0.003219298678405071
morgan_935,0.003212643602982451
morgan_1385,0.003125344145578383
morgan_78,0.0030871872503221874
morgan_1800,0.003054761694517927
Num_Saturated_Rings,0.003030209297657167
Num_Aromatic_Rings,0.0030014282654332487
morgan_978,0.002977865905539044
morgan_251,0.002952889192627707
morgan_738,0.002949744772814406
morgan_1028,0.0029474311596444057
morgan_1,0.0029111587369587276
morgan_1855,0.0028748542841294054
morgan_387,0.0027879189953301893
Num_Rings,0.0027682094580925905
morgan_877,0.0027673081291664705
morgan_1718,0.0027500557190321944
morgan_1088,0.002684237619586997
morgan_699,0.002578266320710015
morgan_317,0.0025690912970981923
morgan_404,0.0025338174542042236
morgan_314,0.002499080871173554
morgan_1863,0.0024875035519194588
morgan_1238,0.0024413024024733374
morgan_1114,0.002395528176539844
morgan_1514,0.0023819809444183505
morgan_1152,0.0023655292237883922
morgan_1988,0.002324568373800717
morgan_7,0.0023174004519134865
morgan_119,0.0023169764226604324
morgan_857,0.0022473846979828628
morgan_1518,0.0022260358433396164
morgan_1199,0.002215869118031979
morgan_464,0.00220337589580519
morgan_724,0.0022032618078294554
morgan_282,0.00219055565889901
morgan_151,0.0021717870587431303
morgan_105,0.0021709901253582635
morgan_1840,0.002126788488019332
morgan_712,0.0020810055826105244
morgan_1057,0.002035205381013835
morgan_1019,0.0020009145536227404
morgan_1405,0.0019930452219248792
morgan_1652,0.0019508215440904692
morgan_10,0.0019493530649882418
morgan_88,0.0019410469633820726
morgan_1923,0.0019231697932236946
morgan_315,0.0019163794193356942
morgan_818,0.0019040003518831527
morgan_687,0.001898790909764898
morgan_80,0.0018737186074715216
morgan_816,0.0018385374033270446
morgan_99,0.0018376946235043362
morgan_1862,0.0017977869097989283
morgan_504,0.0017912223750590594
morgan_1866,0.0017781777625702846
morgan_42,0.0017307713658814177
morgan_1225,0.0017274461932254752
morgan_1654,0.0017210500019723656
