feature,importance
morgan_1803,0.1407201219538772
morgan_1158,0.0727507355466754
Num_Saturated_Rings,0.050318186837782185
Molecular_Polar_Surface_Area,0.03787645959811943
ALogP,0.035972692339478245
morgan_1305,0.033443184673852745
morgan_1554,0.030801764419726024
morgan_1843,0.027547212407698703
LogS,0.01863860718462523
morgan_976,0.018115809219859218
morgan_1912,0.01721797638559835
morgan_556,0.0164168076565562
morgan_666,0.016352300803204618
morgan_282,0.012727411366218949
morgan_1853,0.012451242213777252
Num_Rotatable_Bonds,0.011416090248082439
morgan_474,0.010963702792307984
Num_H_Donors,0.009107436643285399
morgan_1142,0.008791792586389456
morgan_2039,0.008691281861260773
Molecular_Weight,0.008512239078471012
morgan_461,0.008470692893032873
Molecular_Surface_Area,0.008146722508286264
morgan_793,0.007744929371334506
morgan_1019,0.007177384120311447
morgan_1227,0.007079179934227966
morgan_1239,0.006394622014665032
Num_H_Acceptors,0.005882385136046237
morgan_739,0.005220219504251194
morgan_1,0.005131769239403207
morgan_906,0.00499169339176865
morgan_1991,0.004877361725530896
morgan_1661,0.004669695788383036
morgan_1349,0.004577270104141687
morgan_841,0.004453123161691609
morgan_650,0.004353656834643036
Num_Atoms,0.004353185914404167
morgan_80,0.004144906905939805
morgan_1507,0.003911006891246942
morgan_1326,0.0038632563714885246
morgan_1365,0.003836914212334547
morgan_407,0.0038181831914647552
Num_Heavy_Atoms,0.0038157997247928754
morgan_820,0.003755965051704853
morgan_832,0.003641950401018436
morgan_794,0.0035154716730203713
morgan_2000,0.0034602099585534646
Num_Aromatic_Rings,0.00324577277393884
morgan_1970,0.0032224665904204497
morgan_378,0.0032184818515242405
morgan_197,0.003162981402844081
morgan_649,0.0031078042855655114
morgan_926,0.003104010078602096
morgan_145,0.003005458988697528
morgan_935,0.002888522900040434
morgan_35,0.002803392956895602
morgan_1325,0.0027981293942570882
morgan_524,0.0027841207702560063
morgan_1508,0.002694961417984873
morgan_1808,0.002600866448308311
morgan_114,0.002381439547301975
morgan_1938,0.002352208230320164
morgan_1663,0.002328998011574785
morgan_1057,0.0023095987747149068
Num_Rings,0.0021389855487693892
morgan_1152,0.0021114079179103966
morgan_1683,0.0020957672925947125
morgan_875,0.002050866423313892
morgan_1114,0.001982163329526736
morgan_1601,0.0019383803973142483
morgan_561,0.0019143994190823563
morgan_1738,0.0019067173344646097
morgan_84,0.0019046163864770073
morgan_695,0.0019018664564818275
morgan_389,0.0018777740373359761
morgan_366,0.0018652579965625189
morgan_1028,0.0018539214645974392
morgan_847,0.0018247158394889451
morgan_621,0.0017957812695833706
morgan_1460,0.0017727791059732564
morgan_1582,0.0017280065387887556
morgan_1824,0.0016664694677338105
morgan_1162,0.0016292776492483488
morgan_1430,0.001629257956967966
morgan_1145,0.0016242330634904981
morgan_1088,0.0015942308728154728
morgan_1686,0.0015936688261579215
morgan_94,0.001592360978181715
morgan_1728,0.0015915720415099698
morgan_534,0.0015684565820922693
morgan_1473,0.001560406207968211
morgan_950,0.0015262427352706136
morgan_1480,0.001439888269616193
morgan_1160,0.0014059571689604281
morgan_627,0.001380011779087799
morgan_807,0.001356367987621228
morgan_292,0.001318038415209708
morgan_654,0.001301015917840046
morgan_533,0.0012941107967529676
morgan_1007,0.0012790446810445708
morgan_310,0.001273614500146683
morgan_592,0.0012507106183277678
morgan_2042,0.0012359466458489988
morgan_325,0.0011917233200792173
morgan_766,0.0011873552157445585
morgan_484,0.001184272311669359
morgan_184,0.0011764659299294802
morgan_1125,0.001172904651294355
morgan_800,0.0011714192242821997
morgan_356,0.0011579311623664088
morgan_1729,0.0011545768417071695
morgan_1402,0.0011224480671817446
morgan_294,0.0011168164706748347
morgan_741,0.001106714505864501
morgan_1701,0.0010992077476612739
morgan_162,0.0010950253586074327
morgan_1832,0.0010842427100547728
morgan_570,0.0010736298529409253
morgan_456,0.0010666716958085615
morgan_1296,0.0010568024029171093
morgan_313,0.00105570901610288
morgan_1880,0.0010394408237340718
morgan_1087,0.0010306944902656286
morgan_598,0.0010168521658918137
morgan_667,0.001015345187261417
morgan_447,0.0009942822141776303
morgan_153,0.0009882878304724077
morgan_1749,0.000977863084587539
morgan_1713,0.0009757862213534568
morgan_1908,0.0009725995215745888
morgan_981,0.0009705298338439297
morgan_1727,0.0009676121476808884
morgan_1199,0.0009359467592089092
morgan_49,0.000925722444348133
morgan_1785,0.0009181609258944833
morgan_2009,0.00091532903647993
morgan_651,0.0009038388185129921
morgan_1070,0.0009020660980239078
morgan_1697,0.0008971509569862703
morgan_1928,0.0008390902471971331
morgan_980,0.0008301282263585112
morgan_1722,0.0008208489237635338
morgan_314,0.0008131998125476053
morgan_1243,0.0008011614120093151
morgan_1279,0.0007993236310829909
morgan_1375,0.0007986476415300716
morgan_1567,0.0007937353107658303
Formal_Charge,0.0007917151559607829
morgan_1292,0.0007858124003998707
morgan_1060,0.0007856406166413814
morgan_1754,0.0007835712205926475
morgan_675,0.0007817786182921263
morgan_679,0.000774079732014726
morgan_216,0.0007740169544957087
morgan_470,0.0007736326628260992
morgan_101,0.0007655086272812682
morgan_1791,0.0007575285054022642
morgan_890,0.0007462830622864862
morgan_1708,0.0007344753441985676
morgan_1039,0.0007280244446441811
morgan_552,0.000706241331961076
morgan_231,0.0007028396512678129
morgan_881,0.0007020741136850306
morgan_107,0.000696116363161735
morgan_2001,0.0006945223076410868
morgan_694,0.0006893535771148597
morgan_1171,0.0006849129623431549
morgan_1236,0.000680506212761242
morgan_885,0.0006752004213256772
morgan_802,0.0006742677905793072
morgan_283,0.0006729889363170286
morgan_896,0.0006695143044948229
morgan_1453,0.0006633468723639316
morgan_160,0.000662640440096235
morgan_1536,0.0006602361069501096
morgan_1516,0.0006503763133688042
morgan_207,0.0006492801898761323
morgan_1788,0.0006474446829352997
morgan_919,0.0006452651216998864
morgan_1517,0.0006424070730918424
morgan_1978,0.0006399707184263918
morgan_656,0.0006331210662664378
morgan_2002,0.0006295628360695225
morgan_455,0.0006268206267095123
morgan_335,0.0006247295224859741
morgan_1906,0.0006228151801149699
morgan_1917,0.0006199543087631838
morgan_1998,0.0006151464369044507
morgan_1308,0.0006091302041004709
morgan_942,0.0006007409314792165
morgan_178,0.0005979022537841553
morgan_582,0.0005975413644985826
morgan_1542,0.0005972530737903066
morgan_911,0.0005967063329445864
morgan_1921,0.0005905733336836414
morgan_383,0.0005883112564762217
morgan_729,0.0005866046205419902
morgan_1973,0.0005762141751953477
morgan_816,0.0005678428888147043
morgan_1221,0.0005678248333032814
morgan_1768,0.0005587171816286889
morgan_1892,0.0005565550954852136
morgan_1452,0.0005502035555757209
morgan_1695,0.0005491279975260207
morgan_699,0.0005459858977862274
morgan_185,0.0005427846860487759
morgan_1812,0.0005412523474501147
morgan_1747,0.0005349246181303037
morgan_90,0.0005337046612961198
morgan_987,0.0005290215184013528
morgan_74,0.0005116018255004892
morgan_1980,0.0005020451960063362
morgan_1045,0.0004969235029052991
morgan_1482,0.0004924224942103306
morgan_1855,0.0004919099900951272
morgan_661,0.00048789148624945667
morgan_848,0.0004863349175225788
morgan_1205,0.00048367212110378297
morgan_1840,0.00047704573664347804
morgan_1170,0.0004762636882147583
morgan_95,0.0004751328381356315
morgan_1535,0.00046359404778244137
morgan_1066,0.0004585036371364884
morgan_745,0.00045729015618255084
morgan_305,0.000456385052552826
morgan_2020,0.00045631197594702566
morgan_42,0.0004548887615665784
