feature,importance
morgan_1603,0.15264802874415478
morgan_808,0.10415672919998525
morgan_1200,0.07443269912028079
morgan_1451,0.0700045357902115
LogS,0.05681616198716922
morgan_1258,0.030027174022911645
Molecular_Surface_Area,0.02680575059586918
Molecular_Weight,0.02613269075966186
ALogP,0.02008083395187109
morgan_905,0.01921249057008889
morgan_1966,0.016265637370606968
morgan_119,0.010433401228690667
morgan_697,0.010210011770315337
morgan_1800,0.010103608062972965
Molecular_Polar_Surface_Area,0.010072523685240257
morgan_1514,0.009079276675898251
Num_Rotatable_Bonds,0.008355789401445182
Num_Heavy_Atoms,0.008207428863710243
morgan_583,0.008079391176302415
Num_Atoms,0.006768005964825179
morgan_1448,0.0061989848420073495
morgan_282,0.005543294274872558
morgan_79,0.005375517192722618
morgan_275,0.0051065156375554475
Num_H_Acceptors,0.0047324501758047675
morgan_1014,0.004596455120887127
morgan_1920,0.004494715301521488
morgan_1714,0.004459725579704975
morgan_474,0.003968414567915766
morgan_1452,0.003930247036461345
morgan_165,0.003741186982838328
morgan_857,0.003702418891821991
morgan_1295,0.003547556043461318
morgan_114,0.0034946556359152225
morgan_1634,0.0033343789648931305
morgan_88,0.0033044569324046534
morgan_487,0.0030393109167254745
morgan_523,0.0030011981240798975
morgan_1813,0.002999442350952271
morgan_898,0.002904017620210823
morgan_540,0.0028970271002395067
morgan_1160,0.002842137057735155
morgan_1171,0.0028224883645003567
Num_Saturated_Rings,0.0028223760448910116
morgan_1084,0.002784683918056919
morgan_1022,0.002699422454617842
morgan_393,0.0026991274762929295
Num_Rings,0.002646894427599678
morgan_1102,0.0026013957462771493
morgan_1567,0.002485186018252018
morgan_1309,0.00241713223999643
Num_Aromatic_Rings,0.0022708173696206293
morgan_875,0.0021560802635976982
morgan_1372,0.002109504759141389
Num_H_Donors,0.0021014312308022132
morgan_935,0.002015909544033983
morgan_283,0.001962245902107749
morgan_84,0.001935809924002846
morgan_1860,0.0019186074842829151
morgan_325,0.0018871057921123638
morgan_306,0.0018560705473282535
morgan_1095,0.0018527537140962888
morgan_656,0.001811864417239578
morgan_314,0.0017529531702005535
morgan_122,0.0017492623399903806
morgan_1145,0.0017102362999797376
