Target_ID,Model,R2,RMSE,MAE,CV_R2_Mean,CV_R2_Std,Training_Time
P00352,RandomForest,0.1966375830224104,0.42188056416640624,0.28861848179061533,0.1814206935547155,0.005854877250817012,25.67962884902954
Q12809,RandomForest,0.742917587892711,0.47062621397818966,0.3482664024316189,0.7182418415616525,0.007171758775818151,6.332886219024658
P33261,RandomForest,0.3162010970809396,0.5940989553601552,0.4238977827597598,0.3297646094485815,0.02411744853896578,4.937863826751709
P11712,RandomForest,0.34210708757368435,0.5680450008780371,0.40634895332344173,0.3176558982931165,0.031814861692170945,4.8706042766571045
P31645,RandomForest,0.801505919661708,0.5511631764359362,0.4050855622815361,0.7732784686620784,0.012508198835921773,4.400170803070068
P10635,RandomForest,0.4072233725113602,0.5841693398686748,0.42819266254609917,0.39619657922796025,0.02300317029574797,4.725372314453125
P05177,RandomForest,0.43803152687207125,0.534157769763521,0.40720059098125627,0.39403099403176733,0.037007628123821724,4.320912599563599
P23975,RandomForest,0.7817000778110785,0.5340723797022443,0.4023579617680138,0.7758524542213964,0.010469808181193927,3.612137794494629
P34972,RandomForest,0.6146018448997848,0.7304319765874052,0.5572969637734657,0.5956649084781701,0.003950412710615556,3.9141790866851807
P27338,RandomForest,0.6156094892888806,0.7848769381246459,0.5815377999822445,0.602695170034432,0.01666595972977385,2.6659629344940186
P28845,RandomForest,0.5976622894133757,0.6820245972708093,0.5415445271047633,0.5906015352243047,0.02335471075172989,2.4408040046691895
Q01959,RandomForest,0.7094149634284959,0.6318247414562572,0.48435624953306183,0.6670225942684155,0.011774706645081337,2.394618034362793
P11229,RandomForest,0.6029355371121575,0.8329103367624576,0.6056504353882304,0.5823249155056003,0.02839827963215988,2.283383369445801
P21397,RandomForest,0.5869791958858595,0.799875354443174,0.5851295869935542,0.573109122611341,0.04131840488828317,2.1479411125183105
P08172,RandomForest,0.7171409382377933,0.7794658620785095,0.5835813410620428,0.6845520039514655,0.01587806103494861,2.17714786529541
P41595,RandomForest,0.49829758663754176,0.7369011852819188,0.561522584560222,0.4117449400716244,0.0331156383546062,2.1864209175109863
P35348,RandomForest,0.6763887047572803,0.8306336953946384,0.6191669846468948,0.6647753696951657,0.02412124129746822,2.1752047538757324
P07550,RandomForest,0.7069972566686065,0.8860809466198231,0.6583140962406774,0.7159980520474031,0.01733836855004491,2.0901379585266113
P20309,RandomForest,0.7789739863320645,0.8150734623533328,0.5888912655558708,0.7711666061227967,0.009500038265657967,2.13866925239563
P35367,RandomForest,0.6005442023632441,0.836439675965667,0.5926416802379855,0.5977996844747616,0.043117442117101244,2.038585662841797
P08588,RandomForest,0.6102127077587083,0.7963973361193458,0.583514337815731,0.6178920959179511,0.03644995299992292,2.1465890407562256
P08913,RandomForest,0.6064467174870174,0.8111765017481299,0.5854806261030628,0.5843487959780997,0.04971405906710461,2.0265085697174072
P36544,RandomForest,0.5045899184652465,0.8533088507725667,0.6236922074170925,0.5495490697463616,0.08525074481246532,2.004772663116455
O75469,RandomForest,0.5766136514670481,0.6122436778607023,0.4502139327056571,0.5879672207891842,0.015248606486669694,2.2092783451080322
Q14524,RandomForest,0.4812031225907437,0.6007064762471925,0.44247384440427445,0.4233695935234446,0.05480627889366262,2.109403133392334
P47989,RandomForest,0.4853699738036972,0.9277297836360724,0.6457562638080329,0.5900585512948983,0.07021697249341798,1.9692482948303223
P35869,RandomForest,0.588722898625667,0.9278770752338285,0.6576779524876954,0.39201709415835745,0.10312516354589123,1.8098218441009521
P20813,RandomForest,0.49385989254923335,0.5056330490984967,0.38215901936338476,0.3415452978793434,0.15567052189381536,1.7936601638793945
Q9Y6L6,RandomForest,0.4885175124239802,0.4059491405700731,0.31795834276499696,0.38358200612175963,0.25594944658089847,1.8446640968322754
Q14994,RandomForest,0.20072483841079647,1.0109728606102488,0.7633262229742028,0.2790514262041632,0.26295509995444144,1.7486636638641357
Q9NPD5,RandomForest,0.41132091353854927,0.47262158618933836,0.3119844894075146,0.3081903337999002,0.209937812149763,1.8188087940216064
Q9GZZ6,RandomForest,0.7566939573298875,0.7533002748131366,0.4924204591836717,0.6058770903624906,0.2866060156729245,1.7524151802062988
O94956,RandomForest,0.6317166933210285,0.4126471444702909,0.26809392857143094,0.1486281282377831,0.3319860662713541,1.906381368637085
