feature,importance
morgan_1559,0.14336635866361036
morgan_351,0.11459717207976478
morgan_1245,0.05585672292468126
Molecular_Polar_Surface_Area,0.04976491918052149
morgan_219,0.03642431976482158
morgan_1797,0.02133062739908528
morgan_1324,0.019681509529307268
morgan_424,0.019311626044123394
morgan_1293,0.017495397248400896
morgan_926,0.016404823513612263
LogS,0.01615109342194011
ALogP,0.015981256552505485
morgan_1236,0.012169490811114504
morgan_812,0.011965839844353036
morgan_52,0.01130810478236469
morgan_963,0.011279015401444614
morgan_1951,0.01011309829443659
Num_Rotatable_Bonds,0.01008517875477457
morgan_292,0.009186160502412753
morgan_1738,0.008300062857783494
morgan_725,0.008133749669065266
Num_Heavy_Atoms,0.006953140262076235
Molecular_Weight,0.00686982865931742
morgan_400,0.006814604476034294
morgan_1697,0.00669563877519814
morgan_112,0.006551434696977105
morgan_884,0.0062263378902034225
Molecular_Surface_Area,0.005774689792337373
morgan_1553,0.005700840215452991
morgan_79,0.005474411440309021
morgan_1039,0.005426544028382706
morgan_807,0.005407203150258118
morgan_1035,0.005304971605468065
morgan_1172,0.005277355083500555
Num_Atoms,0.005226115335114694
morgan_582,0.00497243761850763
morgan_652,0.0047260240223184966
morgan_42,0.004690141502135865
morgan_567,0.004665413573136084
Num_H_Acceptors,0.004362713781977537
morgan_1603,0.004127350945264851
morgan_389,0.0037416493476469213
morgan_1401,0.003303507635631342
morgan_148,0.0033006568979549876
morgan_1647,0.0032446319133730027
Num_Rings,0.0032107050888671735
morgan_786,0.0029843957368112218
morgan_273,0.002937554147437777
morgan_1508,0.0028682696782107043
morgan_511,0.002664543241249944
morgan_1501,0.002664011097145926
morgan_1199,0.002659318243457523
morgan_1480,0.0026540928241197753
morgan_140,0.0025961846185570112
morgan_1597,0.0025854108652428555
morgan_503,0.0025515669711462007
Num_Aromatic_Rings,0.0025393719259542992
morgan_506,0.002471804780812519
morgan_875,0.0024229364530398293
morgan_26,0.0024028538137958622
morgan_115,0.002363741960466188
morgan_1452,0.0023225454109246212
morgan_1970,0.002304172504105949
morgan_1722,0.0021803052593112903
morgan_1470,0.00214027327634639
morgan_474,0.0021227700263400733
morgan_1160,0.0021163980257104735
morgan_1349,0.0020353878372141943
morgan_1853,0.0019963819221048697
morgan_1034,0.001986959398315652
morgan_1982,0.0019690929419594995
morgan_1527,0.0019647000700537846
morgan_1920,0.001959907761674029
morgan_1643,0.0019470215367322636
morgan_1939,0.0019170763597324597
morgan_947,0.0018910230715415532
morgan_193,0.001848104844249879
morgan_1109,0.0018195667790589954
morgan_650,0.0017930339149603372
morgan_927,0.001782083021046814
morgan_1205,0.0017371725124717583
Num_Saturated_Rings,0.0016955269587698915
morgan_1171,0.0016800816691869664
morgan_1586,0.0016371103596041047
morgan_158,0.0015666358041817206
morgan_1928,0.0015576132904003362
morgan_624,0.001551903592645781
morgan_1312,0.0015124087026331806
morgan_1823,0.001502411754180296
morgan_984,0.0014845855136458549
morgan_1747,0.0014606945113518881
morgan_1879,0.0014236484081660006
morgan_1519,0.0014062095865672595
morgan_113,0.001376594409553155
morgan_703,0.0013734938528142066
morgan_874,0.0013677352222080691
morgan_1145,0.0013243423524350656
morgan_675,0.001264250295930919
morgan_656,0.0012642433716617846
morgan_1152,0.0012559531600022003
morgan_329,0.001248253332403129
morgan_806,0.0012417806610296879
morgan_896,0.001221889491860669
morgan_322,0.0011886968297237445
morgan_203,0.001176153491505934
morgan_1854,0.0011592796600216687
morgan_165,0.0011548894506397543
