Model,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std,TT (Sec)
Multilinear Regression,-9.465202975311075e+26,1.3206043167380157e+27,13584781624646.152,15352253007579.744,7914448836686.903,9709681273401.975,0.030988216400146484
Random Forest,-3.5561204403569455,4.130718826595618,1.2904400188455682,1.1570331295729137,1.0495387777777787,0.5378507088247255,1.0365326404571533
Gradient Boosting,-4.575602081732491,4.365090840447435,1.4171011212256395,1.0549135177437958,1.183190415457394,0.43149216416870484,0.6513514518737793
SVM,-4.209123971656736,4.646306469076421,1.2885151586099541,1.049767181025158,1.0570919257295643,0.4485763418095499,0.014278888702392578
